Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Net Income,-33.7,22.8,8,-1.8,-31.3,-11.6,16.6,-51.7,-25,1.8,-16.3,-208,41.9,-263.4,-88.8
Depreciation & Amortization,145.4,145.7,145.1,147,149.4,157.2,156.7,152.3,149.7,136.4,134.3,132.7,134.4,146.5,123.3
Share-Based Compensation,20.5,22.1,17.9,15.3,10.7,9.6,9,7.1,7.6,6.5,9.7,25.1,3.8,4.9,3.6
Other Operating Activities,23.5,-93.3,52.3,-82.8,10,-52.7,-73.6,16.6,35.9,-69.9,-124.7,140.7,-207,141.6,-67.6
Operating Cash Flow,155.7,97.3,223.3,77.7,138.8,102.5,108.7,124.3,168.2,74.8,3,122.6,5.1,61.6,2.6
Operating Cash Flow Growth,12.18%,-5.07%,105.43%,-37.49%,-17.48%,37.03%,3523.33%,1.39%,3198.04%,21.43%,15.38%,-,-,-,-
Capital Expenditures,-45.9,-64.7,-54,-51.5,-47.7,-59.9,-39.9,-113.6,-43.6,-29.6,-41.3,-32.3,-19.8,-20.7,-21.4
Acquisitions,0,0,0,-0.5,0,-227.8,0,0,-617,0,-4.8,0,-15.8,0,-126.9
Change in Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5
Other Investing Activities,6.3,20.1,-8.5,-2,-1.7,-0.3,-1.8,2.5,22.7,8.1,2.3,-2.2,1.6,-7.7,-2
Investing Cash Flow,-39.6,-44.6,-62.5,-54,-49.4,-288,-41.7,-111.1,-637.9,-21.5,-43.8,-34.5,-34,-28.9,-149.8
Dividends Paid,-21.5,-21.4,-21.5,0,0,0,0,0,0,0,0,-32.1,-32,-32,-32.1
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,0,"2,248.2",0,0,0,75.4
Debt Issued / Paid,-3.5,-4.1,-132,-13.2,-50.7,126.6,-7,-7.1,290.4,-6.4,-930.8,-118.8,136.2,-23.1,23.1
Other Financing Activities,-97.2,-37.4,-,-0.5,-0.3,-0.6,-0.3,-1.6,-0.3,-1.2,"-1,072.5",-1.7,-0.3,2,-2.4
Financing Cash Flow,-122.2,-62.9,-153.5,-13.7,-51,126,-7.3,-8.7,290.1,-7.6,244.9,-152.6,103.9,-53.1,64
Net Cash Flow,-4.3,-1.1,-6,-0.3,38.7,-57.3,56.8,4.2,-178.9,52.8,206,-64.6,73.7,-16.2,-98.9
Free Cash Flow,109.8,32.6,169.3,26.2,91.1,42.6,68.8,10.7,124.6,45.2,-38.3,90.3,-14.7,40.9,-18.8
Free Cash Flow Growth,20.53%,-23.47%,146.08%,144.86%,-26.89%,-5.75%,-,-88.15%,-,10.51%,-,-,-,-,-
Free Cash Flow Margin,20.32%,5.48%,30.43%,4.88%,17.00%,7.12%,12.70%,2.05%,24.70%,9.42%,-8.62%,21.57%,-3.71%,8.93%,-4.61%
Free Cash Flow Per Share,0.26,0.08,0.39,0.06,0.21,0.10,0.16,0.03,0.29,0.11,-0.09,0.29,-0.05,0.13,-0.06
