Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Net Income,28.06,3.67,-7.5,18.68,40.16,38.95,38.03,54.97,60.47,172.64,32.44,34.82,-63.78,8.9,8.9,16.13,2.22,-1.26,19.02,17.47,18.45,12.29,18.11,4.59,14.57,5.59,22.66,7,5.4,1.19,13.48,17.93,14.03,3.78,11.26,12.43,9.46
Other Operating Activities,4.21,133.48,-46.74,-113.48,-0.83,-365.98,25.97,78.23,39.49,66.73,-15.19,-21.5,-40.37,-34.56,125.26,-132.63,-29.48,-64.48,-75.61,24.61,12.56,-93.09,-61.37,52.32,3.3,-25.47,-9.95,-27.61,-8.97,55.88,-141.69,-93.49,11.26,-100.15,-198.86,-43,25.57
Operating Cash Flow,32.27,137.15,-54.24,-94.8,39.33,-327.02,64,133.2,99.96,239.36,17.26,13.32,-104.15,-25.66,134.16,-116.5,-27.27,-65.74,-56.59,42.08,31.02,-80.81,-43.26,56.91,17.86,-19.88,12.71,-20.61,-3.57,57.06,-128.2,-75.56,25.29,-96.38,-187.61,-30.57,35.03
Operating Cash Flow Growth,-17.93%,-,-,-,-60.66%,-,270.91%,900.11%,-,-,-87.14%,-,-,-,-,-,-,-,-,-26.06%,73.64%,-,-,-,-,-,-,-,-,-,-,-,-27.79%,-,-,-,-
Dividends Paid,-44.59,-46.25,-44.51,-44.66,-44.58,-44.61,-49.43,-49.36,-49.63,-92.46,-17.49,-18.18,-17.47,-17.6,-17.47,-17.43,-17.34,-17.47,-17.66,-17.68,-17.56,-17.61,-17.64,-16.09,-16.1,-16.13,-16.17,-16.23,-16.34,-16.08,-16.2,-15.78,-15.51,-12.37,-12.1,-10,-7.07
Share Issuance / Repurchase,98.09,1.14,10.64,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.57,0,0,0,0,0,0,0,17.27,117.11,-0.87,-4.8,-13.74,-4.99
Debt Issued / Paid,-78.06,-84.88,76.1,153.65,2.81,233.86,41.29,-9.43,-36.38,-119.46,1.65,0.7,144.39,41.57,-115.49,138.02,44.89,85.48,70.94,-22,-16.25,98.5,35.5,-93.75,3.25,31.5,2.7,40.5,9.05,-28,146,77,-126,113,202,35,0
Other Financing Activities,-0.14,-0.38,-0.05,-3.01,-,-0.06,-4.06,-0.02,-0.47,-12.92,-0.17,-1.59,-10.11,-0.04,-0.19,0.14,-0.49,-0.81,-1.24,-0.12,-1.88,-0.45,-0.12,-0.08,-0.65,-5.59,-0.03,-0,-0.05,-1.99,-1.36,-0.44,-0.52,-2.29,-0.05,-0.12,-0.88
Financing Cash Flow,-24.71,-130.36,42.17,108.21,-41.77,189.19,-12.2,-58.81,-86.48,-224.84,-16.01,-19.07,116.81,23.93,-133.15,120.72,27.05,67.2,52.04,-39.8,-35.69,80.45,17.73,-28.35,-13.49,9.78,-13.5,24.27,-7.34,-46.07,128.44,78.05,-24.91,97.47,185.05,11.14,-12.94
Net Cash Flow,7.56,6.78,-12.07,13.41,-2.44,-137.84,51.8,74.4,13.48,14.52,1.25,-5.76,12.66,-1.73,1.01,4.22,-0.22,1.46,-4.56,2.28,-4.68,-0.36,-25.53,28.56,4.37,-10.11,-0.78,3.66,-10.91,10.99,0.24,2.49,0.38,1.09,-2.56,-19.42,22.09
Free Cash Flow,32.27,137.15,-54.24,-94.8,39.33,-327.02,64,133.2,99.96,239.36,17.26,13.32,-104.15,-25.66,134.16,-116.5,-27.27,-65.74,-56.59,42.08,31.02,-80.81,-43.26,56.91,17.86,-19.88,12.71,-20.61,-3.57,57.06,-128.2,-75.56,25.29,-96.38,-187.61,-30.57,35.03
Free Cash Flow Growth,-17.93%,-,-,-,-60.66%,-,270.91%,900.11%,-,-,-87.14%,-,-,-,-,-,-,-,-,-26.06%,73.64%,-,-,-,-,-,-,-,-,-,-,-,-27.79%,-,-,-,-
Free Cash Flow Margin,30.05%,128.80%,-56.96%,-122.39%,50.22%,-390.42%,66.20%,158.73%,120.99%,303.25%,54.86%,43.52%,-325.77%,-72.35%,364.01%,-303.38%,-74.63%,-182.77%,-149.00%,113.00%,87.27%,-236.55%,-125.71%,158.00%,55.49%,-65.21%,37.45%,-70.29%,-11.39%,179.15%,-389.72%,-276.62%,95.91%,-395.65%,-983.48%,-189.79%,254.98%
Free Cash Flow Per Share,0.31,1.33,-0.53,-0.93,0.39,-3.21,0.63,1.31,0.98,4.44,0.43,0.33,-2.58,-0.64,3.33,-2.89,-0.68,-1.63,-1.41,1.05,0.77,-2.01,-1.08,1.50,0.49,-0.55,0.35,-0.57,-0.10,1.57,-3.53,-2.09,0.83,-3.28,-6.37,-1.03,1.15
