Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.65,0.53,1.34,2.45,-0.15,1.02,-0.01
Other Operating Activities,-1.05,-0.68,-1.46,-2.61,-0.16,-2.64,0.01
Operating Cash Flow,-0.39,-0.15,-0.13,-0.16,-0.31,-1.63,0
Share Issuance / Repurchase,0,0,0,0,-0.59,225.41,0
Debt Issued / Paid,0,0,0,2.5,0,0.08,0.07
Other Financing Activities,-,-,-,-,0.59,5.92,-0.07
Financing Cash Flow,0,0,0,2.5,0,231.41,0
Net Cash Flow,-0.39,-0.15,-0.13,2.34,-0.31,0.37,0
Free Cash Flow,-0.39,-0.15,-0.13,-0.16,-0.31,-1.63,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.02,-0.10,-
