Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.85,2.67,2.53,1.67,1.12,6.05,-0.05,-0.01
Other Operating Activities,-1.07,-2.9,-2.66,-2.12,-1.41,-6.74,0.01,0.01
Operating Cash Flow,-0.22,-0.24,-0.13,-0.45,-0.28,-0.69,-0.04,0
Change in Investments,185,0,0,0,0,-182.22,0,0
Investing Cash Flow,185,0,0,0,0,-182.22,0,0
Share Issuance / Repurchase,-161.96,0,0,0,0,176.81,0.03,0.03
Debt Issued / Paid,0.96,0,0,0,0,-0.3,0.3,0.06
Other Financing Activities,-,-,-,-,-0,7.37,-0.12,-0.07
Financing Cash Flow,-161,0,0,0,-0,183.88,0.2,0.02
Net Cash Flow,23.78,-0.24,-0.13,-0.45,-0.28,0.97,0.16,0.02
Free Cash Flow,-0.22,-0.24,-0.13,-0.45,-0.28,-0.69,-0.04,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.02,-0.02,-0.04,-0.01,-
