Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,7.61,7.04,7.2,5.39,4.88,4.27,4.24,6.59,4.91,7.07,5.17,-0.63,3.47,3.56,3.71,3.43,3.25,3.67,2.35,1.5,1.69
Depreciation & Amortization,0.64,0.72,0.61,0.61,0.64,0.62,0.63,0.61,0.52,0.57,0.54,0.52,0.52,0.45,0.54,0.4,0.43,0.36,0.51,0.4,0.4
Share-Based Compensation,0.66,0.78,0.61,0.56,0.57,0.52,0.5,0.44,0.42,0.38,0.39,0.38,0.38,0.26,0.26,0.26,0.27,0.25,0.2,0.22,0.21
Other Operating Activities,-0.62,1.6,-0.07,-0.44,0.69,-1.89,1.37,-3.08,6.3,-3.42,1.12,-1.26,1.19,0.48,0.7,-1.88,0.57,0.6,0.74,-1.15,0.64
Operating Cash Flow,8.83,10.67,8.9,6.66,7.31,4.06,7.28,5.1,12.69,5.23,7.23,-0.99,5.55,4.75,5.21,2.21,4.52,4.87,3.81,0.97,2.94
Operating Cash Flow Growth,20.80%,163.04%,22.23%,30.65%,-42.37%,-22.38%,0.76%,-,128.71%,10.06%,38.65%,-,22.72%,-2.50%,36.88%,128.07%,53.62%,-,-,-,-
Capital Expenditures,-1.5,-2.4,-2.39,-1.28,-1.71,-1.82,-2.2,-0.19,-0.01,-0.12,-0.36,-0.01,-0.74,-0.28,-0.15,-0.27,-0.21,-0.14,-0.06,-0.34,-0.81
Change in Investments,-36.4,-39.39,-54.66,-25.73,-101.18,-28.41,3.46,59.5,-49.57,-32.63,-47.91,-194.55,-37.47,-43.69,-36.3,-31.21,-39.3,-45,-92.9,-87.83,-46.34
Other Investing Activities,-,-0.7,-,-,0.7,-31.26,-,-10,-,-,-,-,-,-5,-5,-,-,-,-,-,-
Investing Cash Flow,-37.9,-42.49,-57.05,-27.01,-102.18,-61.5,1.26,49.3,-49.58,-32.75,-48.27,-194.56,-38.22,-48.98,-41.44,-31.48,-39.51,-45.13,-92.96,-88.17,-47.15
Dividends Paid,-0.75,-0.74,-0.37,-0.38,-0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,-2.65,-3,-1.26,0,0,0,0,-12.81,0,0,-0.99,0,0,0,0,-2.28,44.99,0,0
Debt Issued / Paid,5.7,100,0,-40,82.62,-11.4,0,25.64,0,0,-10,0,-30,30,-10,-10,-10,10,-15.12,-19.01,10.35
Other Financing Activities,118.86,-41.57,53.26,64.64,22.44,-2.94,-51.11,-73.75,99.36,20.3,102.24,199.12,71.59,7.06,53.43,44.3,46.69,30.25,88.39,110.57,23.28
Financing Cash Flow,123.8,57.68,50.24,21.26,103.41,-14.34,-51.11,-48.11,99.36,7.5,92.24,199.12,40.6,37.06,43.43,34.3,36.69,37.97,118.26,91.56,33.63
Net Cash Flow,94.73,25.87,2.09,0.91,8.54,-71.78,-42.57,6.29,62.47,-20.03,51.2,3.58,7.93,-7.17,7.2,5.04,1.7,-2.3,29.11,4.35,-10.58
Free Cash Flow,7.33,8.27,6.51,5.38,5.6,2.24,5.08,4.91,12.68,5.11,6.87,-0.99,4.8,4.47,5.07,1.94,4.31,4.73,3.75,0.63,2.13
Free Cash Flow Growth,30.84%,269.78%,28.14%,9.58%,-55.80%,-56.20%,-26.02%,-,163.95%,14.35%,35.59%,-,11.46%,-5.66%,35.02%,207.46%,102.25%,-,-,-,-
Free Cash Flow Margin,33.62%,40.27%,33.49%,31.80%,36.02%,14.72%,35.29%,29.50%,86.84%,28.57%,48.69%,-15.35%,42.27%,40.57%,45.04%,18.49%,43.32%,47.88%,46.61%,9.41%,32.05%
Free Cash Flow Per Share,0.97,1.11,0.88,0.71,0.73,0.29,0.67,0.65,1.68,0.68,0.83,-0.12,0.58,0.54,0.61,0.23,0.53,0.71,-,-,-
