Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,25.08,-7.74,24.96,23.19,19.02,18.89,16.22,13.34,12.12,11.78,10.78,10.81,6.1,7.86,7.68,6.06,8.53,6.29,7.11,5.87,6.29,3.33,3.85,2.65,2.55,0.05,1.45
Depreciation & Amortization,0.87,-0.55,2.6,1.13,1.16,1.74,0.94,1.11,1.27,0.43,2.21,0.77,1.2,0.03,0.66,0.47,0.45,0.08,0.42,0.48,0.37,0.28,0.28,0.22,0.2,0.2,-
Share-Based Compensation,2.22,2.24,2.04,2.04,1.52,1.22,1.16,1.86,0.59,0.82,0.74,0.94,0.81,0.79,0.8,0.79,0.69,0.49,0.82,0.55,0.29,0.1,0.11,0.11,0.09,0.08,-
Other Operating Activities,10.86,17.54,23.82,-36.25,9.18,-6.35,5.22,-17.95,-14.08,17.76,0.92,8.5,12.7,-20.25,17.9,-4.87,11.36,-20.67,17.28,-6.98,8.37,3.66,0.9,7.11,6.04,3.27,-1.45
Operating Cash Flow,39.03,11.49,53.4,-9.89,30.88,15.49,23.54,-1.64,-0.1,30.79,14.65,21.02,20.82,-11.57,27.04,2.45,21.03,-13.81,25.63,-0.09,15.32,7.37,5.13,10.1,8.88,3.6,-
Operating Cash Flow Growth,26.38%,-25.78%,126.90%,-,-,-49.70%,60.70%,-,-,-,-45.84%,757.65%,-1.02%,-,5.49%,-,37.25%,-,399.86%,-,72.56%,104.84%,-,-,-,-,-
Capital Expenditures,-0.98,0.49,-15.76,-2.1,-1.87,-2.15,-1.09,0.03,-0.77,2.94,-2.5,-0.57,-3.79,-2.87,-3.43,-0.58,0.05,-0.34,-0.26,-0.65,-0.72,-0.54,-0.52,-0.52,-0.63,-0.38,-
Change in Investments,2.57,-240.37,-218.74,-298.85,-452.15,-485.25,-215.3,-275.53,-322.93,-232.67,-86.07,-112,-54.39,-108.54,-304.64,-309.52,-233.47,31.56,-110.6,-74.43,-108.35,5.27,-94.37,-187.92,-40.64,-99.18,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-51.78,-,-,-,-190.79,-,-,-,-46.76,-,-,-,-,-
Investing Cash Flow,1.59,-239.88,-234.5,-300.95,-454.02,-487.4,-216.39,-275.5,-323.7,-229.73,-88.56,-112.57,-58.17,-163.19,-308.08,-310.1,-233.42,-159.56,-110.86,-75.09,-109.06,-42.02,-94.89,-188.44,-41.27,-99.56,-
Share Issuance / Repurchase,2.63,-0.17,0,0,-1.19,-1.12,162.66,-0.15,-2.1,-0.28,-0.02,0,-0.58,-0,0,0,-0.09,0.27,0.06,0,-0.11,114.65,0,0,0,-0.05,-
Debt Issued / Paid,144.96,230.81,-5.13,-0.28,-24.85,-3.1,-0.89,-0.03,-0.49,4.74,-113.72,-39.75,-1.28,42.97,-46,-25,30,125,-3,30,-9.2,-1.58,-30.04,-0.6,20.44,59.95,-
Other Financing Activities,-146.12,-453.61,-446.88,239.04,-496.21,978,169.3,861.56,597.11,290.89,132.89,373.05,230.92,85.57,329.08,409.99,305.58,126.62,-6.55,-76.63,212.76,-84.29,159.35,312.62,22.9,70.17,-
Financing Cash Flow,1.47,-222.97,-452.01,238.76,-522.25,973.79,331.07,861.39,594.52,295.34,19.15,333.3,229.06,128.54,283.08,384.99,335.49,251.9,-9.49,-46.63,203.46,28.79,129.31,312.02,43.33,130.07,-
Net Cash Flow,42.09,-451.36,-633.1,-72.08,-945.39,501.87,138.22,584.24,270.72,96.4,-54.77,241.75,191.71,-46.22,2.05,77.35,123.1,78.53,-94.72,-121.81,109.72,-5.87,39.55,133.68,10.95,34.11,-
Free Cash Flow,38.05,11.98,37.65,-11.99,29.01,13.33,22.44,-1.62,-0.88,33.73,12.15,20.45,17.03,-14.44,23.61,1.87,21.08,-14.15,25.38,-0.74,14.61,6.83,4.61,9.57,8.25,3.22,-
Free Cash Flow Growth,31.16%,-10.16%,67.75%,-,-,-60.47%,84.72%,-,-,-,-48.54%,993.16%,-19.20%,-,-6.97%,-,44.30%,-,450.46%,-,77.04%,112.18%,-,-,-,-,-
Free Cash Flow Margin,58.66%,17.63%,56.07%,-20.01%,57.26%,25.95%,48.58%,-3.92%,-2.30%,96.23%,34.89%,60.07%,59.71%,-50.47%,88.26%,7.91%,84.30%,-69.66%,121.91%,-3.94%,71.77%,37.27%,30.74%,82.90%,72.01%,56.91%,-
Free Cash Flow Per Share,3.47,1.10,3.44,-1.10,2.65,1.25,2.69,-0.19,-0.10,4.07,1.47,2.47,2.05,-1.74,2.84,0.23,2.55,-1.72,3.09,-0.09,1.80,0.83,0.60,1.24,1.82,0.42,-
