Metrics,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,12.31,-0.73,6.68,-8.33,10.02
Other Operating Activities,-12.42,0.34,-6.68,6.72,-10.77
Operating Cash Flow,-0.11,-0.39,0,-1.61,-0.75
Change in Investments,0,0,0,0,-414
Investing Cash Flow,0,0,0,0,-414
Share Issuance / Repurchase,0,0,0,0,417.1
Debt Issued / Paid,0,0,0,0,-0.18
Other Financing Activities,-,-,-,0.21,-0.67
Financing Cash Flow,0,0,0,0.21,416.25
Net Cash Flow,-0.11,-0.39,0,-1.4,1.5
Free Cash Flow,-0.11,-0.39,0,-1.61,-0.75
Free Cash Flow Per Share,-0.00,-0.01,-,-0.03,-0.04
