Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-30,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Net Income,2.7,-35.31,5.62,5.53,3.59,5.09,3.17,4.3,4.3,3.2,3.25,1.23,2.55,3.51,2.53,2.22,2.84,2.08,2.39,2.02,1.74,2.77,1.6,1.8,1.73,1.76,1.36,1.49,1.41,0.09,1.19,0.97,0.84,1.25,1.37,0.88
Depreciation & Amortization,0.28,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.28,0.28,0.27,0.27,0.43,0.19,0.36,0.4,0.36,0.18,0.19,0.19,0.19,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.16,0.19,0.18,0.18,0.19,0.18,0.2,0.2
Share-Based Compensation,0.69,0.81,0.82,0.83,0.97,1.06,1.04,0.89,0.55,0.43,0.44,0.51,0.88,0.4,0.39,0.4,0.38,0.38,0.39,0.39,0.38,0.36,0.36,0.35,0.22,0.1,0.09,0.08,0.15,0.15,0,0,0,0,0,0
Other Operating Activities,0.21,46.17,-2.94,-4.32,1.49,1.87,-0.51,0.34,-0.34,1.03,0.39,2.1,2.29,2.89,-1.37,-0.57,1.1,1.19,2.14,0.55,-0.99,0.78,-0.05,-0.43,-0.11,0.89,-0.12,0.3,1.17,1.97,-0.03,-0.97,1.46,1.17,0.01,-0.1
Operating Cash Flow,3.88,11.95,3.77,2.31,6.32,8.27,3.94,5.78,4.79,4.94,4.35,4.1,6.15,7,1.91,2.45,4.68,3.83,5.1,3.14,1.31,4.11,2.13,1.93,2.04,2.95,1.54,2.07,2.9,2.4,1.34,0.18,2.49,2.6,1.58,0.98
Operating Cash Flow Growth,-38.59%,44.44%,-4.42%,-60.08%,32.07%,67.42%,-9.45%,40.85%,-22.15%,-29.36%,127.51%,67.33%,31.26%,82.81%,-62.50%,-22.01%,256.47%,-6.91%,139.95%,63.24%,-35.62%,39.26%,37.72%,-7.05%,-29.62%,23.21%,14.81%,1057.54%,16.47%,-7.85%,-14.99%,-81.68%,-,-,-,-
Capital Expenditures,-0.06,-0.11,-0.06,-0.03,-0.12,-0.11,-0.03,-0.15,-0.26,-0.17,-0.07,-0.42,-1.07,-1.47,-1.66,-1.95,-1.32,-0.79,-0.24,-0.06,-0.02,-0.12,-0.21,-3.08,-0.17,-0.02,-0.01,-0.68,-1.57,-0.12,-0.11,-0.02,-0.08,-0.33,-0.14,-0.02
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,14.98,1.27,15.3,2.72,-1.36,-3.84,2.66,-2.71,2.15,2.74,4.43,-65.64,5.41,5.66,3.53,-1.03,-0.73,0.23,0.01,-0.31,47.23,8.94,-0.22,-10.87,-8.4,1.4,0.03,1.17,-49.05,-19.87,-9.37,0.38,-14.66,-5.68,-11.52,-10.9
Other Investing Activities,51.57,-31.97,-73.84,-2.09,-139.91,13.55,-28.77,5.06,28.93,-76.89,-148.34,-106.92,-29.2,-42.39,-29.37,-23.46,-54.55,-12.31,-8.62,-16.16,8.43,-49.39,-48.91,-22.74,-31.61,-3.98,-21.09,1.81,-0.39,-0.55,3,2.68,0.29,3.57,0.3,-0.73
Investing Cash Flow,66.49,-30.82,-58.6,0.6,-141.39,9.6,-26.13,2.2,30.82,-74.32,-143.98,-172.98,-24.48,-38.21,-27.5,-26.44,-56.59,-12.87,-8.85,-16.53,55.64,-40.57,-49.33,-36.69,-40.18,-2.6,-21.07,2.3,-51.01,-20.54,-6.47,3.05,-14.45,-2.45,-11.36,-11.65
Dividends Paid,0.02,-0.67,-0.67,-0.67,-0.67,-0.68,-0.69,-0.53,-0.47,-0.58,-0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-0.07,0.01,-1.37,-1.64,-1.09,-5.75,-6.17,-6.18,-7.96,0,0,0,91.39,0,0,0,-0.22,0,0,0,-0.1,-0.11,-0.16,-0.22,0,0,0,0,0,4.64,32.99,0,0,0,0,0
Debt Issued / Paid,46.33,-11,78,0,0,0,0,0,-60,31.48,-82.99,100.01,-4.99,-51.98,2.02,11.92,38.12,-9.98,-5.33,18.37,-51.52,18.29,27.21,-16.99,8.4,2.51,9.51,-27.99,40.01,-0.23,-24,2.4,6.6,-10,-5.35,7
Other Financing Activities,-191.93,31.64,-82.4,62.37,98.78,39.33,36.57,47.8,69.19,47.75,226.95,43.63,-47.38,93.88,28.13,7.18,16.63,-2.8,34.56,-30.35,24.78,23.92,20.75,52.62,17.65,3,10.96,19.13,2.2,-13.72,33.53,1.23,3.59,-1.76,23.67,2.7
Financing Cash Flow,-145.65,19.98,-6.44,60.06,97.02,32.9,29.7,41.08,0.77,78.64,143.38,143.64,39.03,41.9,30.15,19.1,54.53,-12.78,29.23,-11.98,-26.84,42.1,47.8,35.41,26.05,5.51,20.47,-8.85,42.21,-9.31,42.52,3.63,10.19,-11.76,18.32,9.7
Net Cash Flow,-75.29,1.11,-61.27,62.96,-38.05,50.78,7.51,49.05,36.38,9.27,3.76,-25.24,20.69,10.69,4.56,-4.89,2.63,-21.82,25.49,-25.37,30.11,5.64,0.59,0.64,-12.09,5.86,0.95,-4.49,-5.89,-27.45,37.4,6.85,-1.77,-11.61,8.54,-0.97
Free Cash Flow,3.83,11.84,3.71,2.27,6.2,8.17,3.91,5.63,4.53,4.78,4.28,3.68,5.08,5.52,0.25,0.5,3.36,3.04,4.86,3.09,1.3,3.99,1.92,-1.16,1.87,2.94,1.54,1.39,1.34,2.27,1.24,0.16,2.41,2.27,1.44,0.95
Free Cash Flow Growth,-38.28%,45.00%,-5.27%,-59.60%,36.81%,70.96%,-8.62%,52.76%,-10.72%,-13.51%,1618.88%,633.67%,50.86%,81.53%,-94.88%,-83.73%,159.17%,-23.78%,153.68%,-,-30.66%,35.89%,24.80%,-,40.22%,29.16%,24.17%,774.21%,-44.63%,0.35%,-14.22%,-83.32%,-,-,-,-
Free Cash Flow Margin,17.67%,-,19.35%,11.86%,37.78%,47.76%,27.86%,37.08%,29.38%,33.76%,33.26%,36.89%,46.71%,49.02%,2.42%,5.15%,32.94%,33.64%,50.43%,34.00%,10.32%,39.44%,23.62%,-13.98%,24.25%,37.12%,21.63%,19.56%,19.15%,33.11%,19.43%,2.62%,40.64%,37.57%,24.06%,17.40%
Free Cash Flow Per Share,0.23,0.72,0.23,0.14,0.38,0.49,0.23,0.33,0.25,0.26,0.24,0.20,0.33,0.29,0.01,0.03,0.18,0.16,0.26,0.17,0.07,0.21,0.10,-0.06,0.10,0.16,0.08,0.07,0.07,0.12,0.06,0.01,0.13,-,-,-
