Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,2.35,1.88,0.9,-0.08,-0.27,-0.22
Other Operating Activities,-2.59,-2.32,-1.13,-0.1,0.07,-0.37
Operating Cash Flow,-0.24,-0.44,-0.23,-0.18,-0.2,-0.59
Change in Investments,0.1,0.38,0,0,0,-306
Investing Cash Flow,0.1,0.38,0,0,0,-306
Share Issuance / Repurchase,0,0,0,0,0,312.9
Debt Issued / Paid,0,0,0,0,0,-0.02
Other Financing Activities,-,-,-,-,-,-5.52
Financing Cash Flow,0,0,0,0,0,307.36
Net Cash Flow,-0.14,-0.06,0.06,-0.18,-0.2,0.77
Free Cash Flow,-0.24,-0.44,-0.23,-0.18,-0.2,-0.59
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.00,-0.01,-0.03
