Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,0.17,0.04,0.12,0.15,-0.28,-0.06,0.02,0.07,-0.08,0.09,0.03
Depreciation & Amortization,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-
Share-Based Compensation,0.06,0.1,0.05,0.05,0.05,0,0,0,0,0,-
Other Operating Activities,-0.03,-0.65,1.51,-0.23,1.82,1.18,-1.15,0.89,0.33,3.23,-0.03
Operating Cash Flow,0.26,-0.45,1.75,0.03,1.66,1.19,-1.07,1.02,0.31,3.39,-
Operating Cash Flow Growth,-84.19%,-,-,-96.86%,429.62%,-64.87%,-,-,-,-,-
Capital Expenditures,0,-0,-0.02,-0.16,-0.04,-0.02,-0.05,-0.03,-0.04,-0.06,-
Change in Investments,2.36,-0.09,-13.08,-11.21,-19.88,-3.23,3.25,-6,-5.74,-7.94,-
Other Investing Activities,-,-,-,-,-,-0.07,0.07,-,-,-,-
Investing Cash Flow,2.36,-0.09,-13.1,-11.37,-19.93,-3.32,3.27,-6.03,-5.78,-8,-
Share Issuance / Repurchase,0,0,0,0,49.44,0,0,0,0,0,-
Debt Issued / Paid,0,0,0,-5,0,0,0,1,0,0,-
Other Financing Activities,-5.92,-4.43,-3.36,-2.39,-101.24,81,20.19,-1.6,-0.45,4.13,-
Financing Cash Flow,-5.92,-4.43,-3.36,-7.39,-51.8,81,20.19,-0.6,-0.45,4.13,-
Net Cash Flow,-3.29,-4.97,-14.71,-18.73,-70.06,78.87,22.39,-5.61,-5.91,-0.49,-
Free Cash Flow,0.26,-0.45,1.73,-0.12,1.62,1.17,-1.12,0.99,0.27,3.33,-
Free Cash Flow Growth,-83.76%,-,-,-,490.88%,-64.91%,-,-,-,-,-
Free Cash Flow Margin,14.51%,-23.02%,98.13%,-6.09%,125.31%,89.29%,-82.37%,77.95%,19.68%,212.93%,-
Free Cash Flow Per Share,0.05,-0.09,0.35,-0.03,0.41,0.22,-0.21,0.18,0.05,0.62,-
