Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,-1.55,0.7,1.77,1.61,1.52,0.79,-2.8,1.17,1.13,0.95,1.05
Depreciation & Amortization,0.29,0.3,0.29,0.26,0.26,-0.22,0.56,0.07,0.07,0.08,0.09
Share-Based Compensation,0.17,0.16,0.14,0.1,0.25,0.29,0,0,0,0,-0.04
Other Operating Activities,0.5,-3.57,1.74,1.5,-4.69,-1.51,3.33,0.65,1.24,-0.74,2.32
Operating Cash Flow,-0.59,-2.41,3.95,3.46,-2.66,-0.64,1.1,1.88,2.44,0.29,3.42
Operating Cash Flow Growth,-,-,259.89%,83.81%,-,-,-67.89%,-,-,-,-
Capital Expenditures,0,-0.19,-1.4,-2.85,-0.16,-0.02,-0.11,0,0,0,0.13
Acquisitions,0,0,0,0,0,0,39.89,0,0,0,0
Change in Investments,-29.48,-57.06,-72.41,-71.85,-16.72,-30.5,3.04,-6.15,-6.39,-0.95,47.02
Other Investing Activities,-5,-,0.04,-,-,-5.03,0.03,0.09,0.1,-,-2
Investing Cash Flow,-34.48,-57.25,-73.77,-74.7,-16.87,-35.54,42.84,-6.06,-6.28,-0.95,45.14
Dividends Paid,-1.22,-1.12,-0.74,-0.74,-0.74,-0.74,-0.24,-0.24,-0.24,-0.65,-0.78
Share Issuance / Repurchase,9.98,-0.01,34.66,0.12,0,0.12,0,0,0,0,0
Debt Issued / Paid,10.31,20.94,-1.64,-14.48,16.3,-13.22,-0.28,-0.42,-0.42,-0.41,-80.72
Other Financing Activities,37.73,-4.94,49.34,40.2,90.51,-30.93,35.14,-12.46,13.64,-6.71,22.82
Financing Cash Flow,56.8,14.87,81.62,25.11,106.07,-44.77,34.61,-13.12,12.98,-7.78,-58.68
Net Cash Flow,21.72,-44.79,11.8,-46.13,86.54,-80.95,78.55,-17.3,9.13,-8.44,-10.12
Free Cash Flow,-0.59,-2.6,2.55,0.61,-2.82,-0.66,0.99,1.88,2.44,0.29,3.54
Free Cash Flow Growth,-,-,158.92%,-67.68%,-,-,-72.16%,-,-,-,-
Free Cash Flow Margin,-10.23%,-27.65%,27.76%,7.47%,-35.61%,-8.74%,30.23%,54.34%,73.02%,8.31%,107.30%
Free Cash Flow Per Share,-0.04,-0.23,0.24,0.06,-0.29,-0.10,0.16,0.33,0.43,0.05,0.62
