Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-03-31
Net Income,6.55,3.65,5.48,9.43,10.11,8.44,7.74,5.29,-,1.81
Depreciation & Amortization,2.41,0.84,0.73,0.47,0.29,0.15,0.33,0.27,-,0.1
Share-Based Compensation,0.33,0.31,0.1,0.04,0.62,0.23,0.27,0.98,-,0.7
Other Operating Activities,15.61,-6.03,35.58,-14.34,1.23,-4.81,-24.95,-15.43,-,19.97
Operating Cash Flow,24.89,-1.23,41.89,-4.4,12.24,4.02,-16.61,-8.89,-,22.59
Operating Cash Flow Growth,103.33%,-,-,-,-,-82.21%,-,-,-,-
Capital Expenditures,-3.25,-1.18,-1.45,-1.34,-0.89,-1.03,-0.12,-0.3,-,-0.08
Acquisitions,0.13,-0.03,0.23,0.1,0.13,0.23,0.17,0.26,-,0.06
Change in Investments,-23.1,-14.86,-2.11,11.02,-27.06,-14.29,34.29,32.87,-,6.1
Investing Cash Flow,-26.22,-16.07,-3.33,9.78,-27.82,-15.1,34.34,32.83,-,6.08
Share Issuance / Repurchase,-0.7,-0.21,0,0.04,35.58,0.14,0,0.17,-,0.08
Debt Issued / Paid,-0.03,-0.03,-0.58,-0.1,-1.21,-15.27,-62.18,-21.3,-,0
Other Financing Activities,10.16,13.48,-58.1,25.57,-1.14,54.44,10.09,24.04,-,-0.67
Financing Cash Flow,9.43,13.23,-58.68,25.51,33.23,39.32,-52.09,2.9,-,-0.59
Net Cash Flow,8.1,-4.07,-20.12,30.89,17.65,28.24,-34.36,26.84,-,28.08
Free Cash Flow,21.65,-2.42,40.44,-5.74,11.36,2.99,-16.73,-9.18,-,22.51
Free Cash Flow Growth,90.62%,-,-,-,-,-86.73%,-,-,-,-
Free Cash Flow Margin,112.64%,-15.50%,221.15%,-26.43%,51.86%,16.08%,-95.98%,-66.16%,-,292.24%
Free Cash Flow Per Share,1.70,-0.19,3.18,-0.45,1.12,0.36,-2.04,-1.14,-,2.81
