Metrics,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,-14.07,-,1.83,-13.9,23.88,-4.9
Depreciation & Amortization,1.16,-,0.55,1.47,0.08,0
Share-Based Compensation,1.77,-,-0,3.93,0,0
Other Operating Activities,-16.79,-,10.87,7.76,-10.04,4.33
Operating Cash Flow,-27.93,-,13.25,-0.74,13.92,-0.57
Capital Expenditures,-0.06,-,-0.42,-0,0,0
Acquisitions,-12.48,-,-7.18,-4.75,4.75,0
Change in Investments,0.44,-,345.92,11.63,331.07,-345
Other Investing Activities,-,-,-3.07,0.15,-,-
Investing Cash Flow,-12.09,-,335.25,7.02,335.83,-345
Dividends Paid,0,-,-0.56,0,0,0
Share Issuance / Repurchase,0,-,-338.1,0,-338.1,338.1
Debt Issued / Paid,10.13,-,1.44,-1.71,0,0
Other Financing Activities,27.5,-,-9.27,5.67,-22.11,8.36
Financing Cash Flow,37.63,-,-346.5,3.96,-360.21,346.46
Net Cash Flow,-2.42,-,3.95,10.25,-10.46,0.9
Free Cash Flow,-27.99,-,12.83,-0.74,13.92,-0.57
Free Cash Flow Margin,-82.86%,-,17.07%,-2.88%,46.67%,-
Free Cash Flow Per Share,-0.25,-,0.30,-0.02,0.32,-0.06
