Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,5.81,4.43,5.56,5.3,4.85,5.65,-83.53,3.3,4
Depreciation & Amortization,0.15,0.16,0.17,0.18,0.19,0.19,0.2,0.31,0.33
Share-Based Compensation,0.13,0.13,0.13,0.14,0.13,0.16,0.03,0.04,0.05
Other Operating Activities,2.92,-6.74,5.6,8.9,0.43,-7.59,2.97,5.38,-1.1
Operating Cash Flow,9,-2.03,11.46,14.5,5.6,-1.6,9.8,9.79,4.06
Operating Cash Flow Growth,60.65%,-,16.94%,48.10%,38.04%,-,-,-,-
Capital Expenditures,-0.02,-0.5,-0,-0.02,-0.16,1.33,-0.07,-0.06,-0.18
Change in Investments,-69.21,-69.27,-39.32,-80.75,-80.4,-113.77,-61.05,-94.85,-75.72
Other Investing Activities,-,-,-,-,-0.18,-15,-,-,-
Investing Cash Flow,-69.23,-69.77,-39.33,-80.77,-80.74,-127.44,-61.12,-94.91,-75.9
Dividends Paid,0,0,0,0,0,0,-0.54,-0.75,-0.78
Share Issuance / Repurchase,-5.87,0,0,0,0.1,-0.13,39.95,0,0
Debt Issued / Paid,74,20,-40,30,0,0,0,0,0
Other Financing Activities,1.18,32.64,57.92,25.43,122.92,105.79,34.39,27.05,130.83
Financing Cash Flow,69.31,52.64,17.92,55.43,123.02,105.66,73.8,26.29,130.05
Net Cash Flow,9.08,-19.16,-9.95,-10.84,47.89,-23.37,22.48,-58.82,58.21
Free Cash Flow,8.98,-2.52,11.46,14.48,5.45,-0.26,9.72,9.74,3.88
Free Cash Flow Growth,64.81%,-,17.81%,48.77%,40.59%,-,-,-,-
Free Cash Flow Margin,50.26%,-15.90%,64.89%,87.50%,33.37%,-1.58%,54.97%,69.59%,25.91%
Free Cash Flow Per Share,0.46,-0.13,0.57,0.72,0.27,-0.01,-,-,-
