Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,10.3,8.7,6.95,9.09,10.24,10.68,11.02,9.84,8.56,5.79,3.45,3.37,3.57,4.16,6.79,6.6,6.56,6.73,6.54,4.76,6.26,2.34,4.81,4.86,4.4
Depreciation & Amortization,0.56,0.53,0.42,0.34,0.31,0.32,0.33,0.35,0.37,0.37,0.37,0.38,0.37,0.38,0.39,0.39,0.37,0.34,0.31,0.32,0.29,0.29,0.29,0.28,0.27
Share-Based Compensation,0.12,0.12,0.14,0.14,0.14,0.13,0.12,0.12,0.09,0.12,0.2,0.2,0.19,0.21,0.18,0.16,0.16,0.16,0.15,0.16,0.18,0.18,0.18,0.17,0.18
Other Operating Activities,7.24,7.18,-5.55,0.04,18.47,-12.43,-18.99,-11.9,-0.23,29.91,-27.93,7.25,-10.51,-0.46,1.02,0.27,2.94,6.92,10.03,-15.71,3.23,-1.36,9.19,2.78,-7.62
Operating Cash Flow,18.22,16.53,1.96,9.62,29.16,-1.31,-7.52,-1.59,8.79,36.19,-23.91,11.19,-6.38,4.29,8.38,7.42,10.04,14.16,17.04,-10.47,9.96,1.44,14.45,8.09,-2.77
Operating Cash Flow Growth,-37.53%,-,-,-,231.76%,-,-,-,-,744.33%,-,50.72%,-,-69.73%,-50.84%,-,0.72%,881.08%,17.89%,-,-,-,-,-,-
Capital Expenditures,-0.12,-2.76,-1.5,-0.88,-0.32,-0.12,-0.06,-0.15,-0.1,-0.07,-0.19,-0.12,-1.4,-0.14,-0.06,-0.47,-0.04,-0.32,-0.04,-0.15,-0.64,-0.28,-0.7,-0.22,-0.08
Change in Investments,-41.74,-102.06,-122.5,-103.26,-23.4,-13.95,14.99,-37.73,-108.85,4.34,-24.77,-110.36,-0.24,-25.42,15.61,-49.29,-2.1,-38.92,-59.12,-37.25,-31.69,-53.04,-82.17,-46.4,-32.61
Other Investing Activities,-,-,-,-,-,-29.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-41.86,-104.82,-123.99,-104.13,-23.72,-43.31,14.92,-37.88,-108.95,4.27,-24.96,-110.48,-1.64,-25.55,15.55,-49.76,-2.14,-39.24,-59.15,-37.4,-32.33,-53.32,-82.88,-46.62,-32.69
Dividends Paid,-2.18,-2.22,-2.25,-2.24,-2.24,-1.78,-1.78,-1.55,-1.55,-1.54,-1.54,-1.54,-1.54,-1.26,-0.94,-0.96,-0.8,-0.48,-0.48,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Share Issuance / Repurchase,-6.4,-4.38,-2.08,0.09,0.48,0.24,-0.29,-10.02,0.47,0.06,0,0.03,-5.88,-0.21,-5.09,-0.77,0.22,-0.45,45.72,0.05,0.03,0.05,0,0.02,0.06
Debt Issued / Paid,-20,20,0,-10,0,0,0,-30,-40,-50,0,50,60,0,-15,5,0,0,0,-10,0,0,0,40,0
Other Financing Activities,95.71,67.89,-19.52,156.37,43.25,34.47,35.01,43.88,158.92,-52.26,0.18,169.49,-1.87,47.05,-14.26,-1.23,4.01,24.23,-7.72,45.32,130.64,38.02,35.06,31.95,54.45
Financing Cash Flow,67.13,81.29,-23.84,144.21,41.49,32.93,32.95,2.31,117.84,-103.74,-1.36,217.98,50.71,45.58,-35.3,2.04,3.42,23.3,37.53,34.96,130.26,37.66,34.66,71.57,54.11
Net Cash Flow,43.49,-7.01,-145.87,49.7,46.93,-11.69,40.35,-37.16,17.68,-63.28,-50.22,118.68,42.69,24.32,-11.37,-40.3,11.31,-1.78,-4.59,-12.91,107.9,-14.21,-33.76,33.03,18.64
Free Cash Flow,18.1,13.77,0.47,8.74,28.84,-1.42,-7.58,-1.74,8.69,36.12,-24.09,11.06,-7.78,4.15,8.31,6.95,9.99,13.84,17,-10.62,9.32,1.17,13.75,7.87,-2.85
Free Cash Flow Growth,-37.26%,-,-,-,231.83%,-,-,-,-,770.10%,-,59.10%,-,-70.01%,-51.09%,-,7.18%,1086.03%,23.64%,-,-,-,-,-,-
Free Cash Flow Margin,64.14%,53.97%,1.98%,34.81%,108.96%,-5.38%,-28.21%,-6.93%,39.83%,182.52%,-162.79%,76.69%,-49.58%,25.57%,40.69%,34.17%,50.85%,69.90%,90.05%,-59.90%,50.22%,7.04%,79.67%,45.62%,-17.66%
Free Cash Flow Per Share,1.25,0.94,0.03,0.59,1.94,-0.10,-0.51,-0.12,0.56,2.35,-1.57,0.72,-0.50,0.27,0.53,0.43,0.62,0.86,1.15,-0.79,0.69,0.09,1.02,0.59,-0.21
