Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
Net Income,36.38,38.14,31.83,19.35,35.24,48.83,45.29,43.29,52.87,45.6,-5.6,22.87,0.75,21.57,23.97,18.69,19.59,17.04,21.38,22.07,19.75,23.02,8.39,11.24,9.75,9.01,1.21,15.78,14.6,9.19,15.91,-
Depreciation & Amortization,3.22,2.95,3.17,3.21,3.28,3.42,3.48,3.49,3.5,4.11,3.11,2.82,2.82,2.51,2.58,2.53,1.9,1.84,1.79,1.93,1.96,2.15,1.66,1.11,1.39,3.63,4.29,3.5,3.02,2.47,2,-
Share-Based Compensation,2.29,1.7,2.53,3.04,2.58,2.22,2.88,2.52,2.67,2.96,3.02,2.35,1.88,1.47,1.84,2.15,1.64,1.88,1.51,1.86,1.96,1.95,1.65,1.8,1.35,1.32,3.37,0,0,0,0,-
Other Operating Activities,56.5,2.87,177.75,214.65,247.15,41.45,-17.6,47.78,-231.22,-180.73,5.26,-74.09,-107.14,54.53,-31.4,-68.94,9.3,50.71,37.26,5.1,24.17,-33.35,-35.89,-94.03,135.41,-33.46,-186.08,-80.93,-4.47,96.34,-143.95,-
Operating Cash Flow,98.38,45.67,215.28,240.24,288.25,95.92,34.06,97.08,-172.18,-128.05,5.79,-46.04,-101.7,80.08,-3.02,-45.58,32.43,71.46,61.94,30.96,47.85,-6.23,-24.19,-79.88,147.91,-19.5,-177.2,-61.65,13.16,108,-126.04,-
Operating Cash Flow Growth,-65.87%,-52.39%,531.99%,147.47%,-,-,488.41%,-,-,-,-,-,-,12.06%,-,-,-32.22%,-,-,-,-67.65%,-,-,-,1024.38%,-,-,-,-,-,-,-
Capital Expenditures,-9.45,-4.57,-2.84,-1.75,-0.6,-0.91,-4.03,0.88,-2.05,-3.28,2.18,-1.81,-3.01,-2.76,-2.06,-0.09,-0.63,-1.52,-1.67,-5.89,-0.7,-1.65,-1.16,-1.24,-0.46,-1.06,-1.17,-0.86,-1.65,-2.99,-0.98,-
Acquisitions,0,0,0,0,0,0,0,0,0,0.01,252.67,0,-4.23,0,0,171.03,0,0,0,0,0,0,-135.14,0,0,0,0,0,0,0,24,-
Change in Investments,-11.1,-161.42,-469.49,-631.13,-477.27,-373.92,-269.75,-223.58,14.4,240.16,4.91,-235.83,50.73,-94.39,-42.77,-124.28,-90.82,-183.94,-71.67,-186.6,-140.19,-54.35,-7.49,-39.43,-31.7,-54.59,-46.96,5.58,61.28,-126.67,63.33,-
Other Investing Activities,2.27,0.2,4.34,0.3,0.12,0.56,4.17,2.17,2.5,2.09,1.41,2.71,1.44,1.14,0.85,1.15,0.72,1.15,2.33,0.78,1.43,1.36,1.15,0.7,2.23,0.14,3.04,1.95,1.56,1.57,0.45,-
