Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income,9.61,8.39,8.04,7.02,6.18,5.69,6.26,6.11,5.1,4.74,4.44,5.04,5.05,4.5,-6.52,5.13,5.12,5.56,6.71,6.38,6.35,4.57,5.95
Depreciation & Amortization,0.33,0.34,0.35,0.35,0.37,0.26,0.26,0.26,0.26,0.28,0.27,0.27,0.27,0.2,0.26,0.21,0.18,0.5,-0,0.3,0.3,0.27,-
Share-Based Compensation,0.51,0.33,0.07,0.71,0.29,0.08,0.31,0.17,0.3,0.2,0.2,0.19,0.18,0.04,11.75,0.16,0.17,0.14,0.02,0,0,0,-
Other Operating Activities,3.13,0.72,-3.44,4.68,5.33,0.94,-1.14,1.54,3.57,1.5,-2.07,1.72,2.96,-0.23,-0.14,-3.36,1.71,0.68,0.32,-1.14,0.89,0.31,-5.95
Operating Cash Flow,13.57,9.78,5.02,12.76,12.16,6.95,5.69,8.07,9.24,6.72,2.84,7.22,8.46,4.51,5.36,2.14,7.18,6.88,7.04,5.54,7.54,5.15,-
Operating Cash Flow Growth,11.62%,40.62%,-11.87%,58.12%,31.62%,3.50%,100.63%,11.82%,9.17%,48.95%,-47.03%,237.78%,17.95%,-34.42%,-23.94%,-61.44%,-4.82%,33.57%,-,-,-,-,-
Capital Expenditures,-0.22,-0.02,0.19,0.04,2.87,-0.33,-0.1,-0.04,-0.12,0.01,-0.09,-0.1,-0.24,-1.38,-0.03,-0.63,-0.66,-0.57,1.71,-0.11,-0.08,-3.22,-
Acquisitions,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,-5.95,-38.64,-71.33,-85.64,-150.24,17.24,3.79,-68.96,-15.41,47.39,-38.22,-50.01,-78.36,-30.99,-42.4,-43.27,10.77,-17.06,5.33,-27.38,0.53,-31.34,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,0.47,-,-,-,0.05,-,-,0.44,-
Investing Cash Flow,-6.17,-38.66,-71.14,-85.6,-147.37,37.34,3.69,-68.99,-15.53,47.4,-38.31,-50.11,-78.59,-32.32,-41.96,-43.9,10.11,-17.63,7.09,-27.49,0.46,-34.12,-
Dividends Paid,-1.46,-1.09,-1.1,-1.09,-1.09,-0.99,-1,-1,-1,-0.93,-0.92,-0.93,-5.03,-1.01,0,0,0,0,-51.81,-4.35,0,-1.95,-
Share Issuance / Repurchase,0.07,-0.12,-0.03,0,-0.08,0.18,-0.18,0,0,-1.86,-0.1,-0.3,-6.82,0,-2.65,0,0,0,50.29,0,0,0,-
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8,0,-0.8,0,-
Other Financing Activities,62.26,-8.04,91.05,63.01,65.81,-44.39,9.83,79.52,23.52,41.85,-30.56,23.28,113.47,35.35,26.08,9.38,10.77,11.59,22.49,19.11,-3.12,36.17,-
Financing Cash Flow,60.87,-9.24,89.92,61.92,64.64,-45.2,8.65,78.53,22.52,39.06,-31.59,22.05,101.63,34.34,23.43,9.38,10.77,11.59,16.18,14.76,-3.92,34.22,-
Net Cash Flow,68.27,-38.13,23.8,-10.93,-70.57,-0.91,18.03,17.6,16.23,93.18,-67.06,-20.85,31.5,6.53,-13.17,-32.39,28.06,0.84,30.31,-7.19,4.08,5.25,-
Free Cash Flow,13.35,9.76,5.21,12.79,15.03,6.62,5.6,8.03,9.12,6.73,2.75,7.12,8.23,3.13,5.33,1.51,6.52,6.31,8.75,5.43,7.46,1.93,-
Free Cash Flow Growth,-11.13%,47.36%,-6.88%,59.27%,64.73%,-1.62%,103.64%,12.82%,10.91%,114.77%,-48.41%,372.78%,26.23%,-50.34%,-39.13%,-72.28%,-12.69%,227.33%,-,-,-,-,-
Free Cash Flow Margin,66.10%,50.07%,29.71%,78.65%,102.88%,47.68%,42.70%,62.06%,80.19%,62.04%,25.72%,65.74%,74.02%,28.65%,47.95%,13.84%,61.61%,59.03%,86.48%,54.74%,74.44%,22.73%,-
Free Cash Flow Per Share,1.46,1.07,0.57,1.41,1.65,0.73,0.62,0.89,1.01,0.74,0.30,0.77,0.82,0.31,0.53,0.15,0.64,0.78,1.15,0.75,1.02,0.27,-
