Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Net Income,13.44,13.69,21,22.57,22.94,23.38,24.74,21.22,18.41,8.7,14.32,9.32,7.58,12.46,12.74,11.66,12.01,10.6,12.13,11.23,11.1,20.42,17.75,18.92,12.3,-
Depreciation & Amortization,0.65,0.79,0.81,0.75,0.6,0.6,0.63,0.68,0.66,0.66,0.67,0.69,0.67,0.62,0.67,0.66,0.67,0.71,0.7,0.69,0.71,0.72,0.72,0.73,0.74,-
Share-Based Compensation,0.47,0.66,0.76,0.62,0.71,0.65,0.65,0.65,0.58,0.82,0.93,0.88,0.9,0.78,0.7,0.68,0.84,1.17,1.14,1.04,1.01,0.59,0,0,0,-
Other Operating Activities,1.2,-11.39,10.14,-10.28,10.57,-3.43,14.93,-3.38,5.75,1.88,1.18,9.16,6.65,9.81,6.61,3.12,3.75,-0.8,10.64,0,-3.11,3.46,1.77,1.94,-1.62,-
Operating Cash Flow,15.76,3.76,32.7,13.64,34.82,21.2,40.95,19.17,25.4,12.06,17.1,20.05,15.8,23.67,20.72,16.12,17.26,11.68,24.61,12.96,9.72,25.19,20.23,21.59,11.41,-
Operating Cash Flow Growth,-54.74%,-82.27%,-20.14%,-28.82%,37.08%,75.81%,139.52%,-4.40%,60.81%,-49.05%,-17.49%,24.41%,-8.49%,102.74%,-15.80%,24.33%,77.68%,-53.64%,21.64%,-39.96%,-14.84%,-,-,-,-,-
Capital Expenditures,-0.32,-0.2,-0.1,-0.13,-0.1,-0.24,-0.04,-0.04,-0.11,-0.13,-0.16,-0.16,-0.96,-1.6,-0.26,-0.24,-0.16,-0.25,-0.41,-0.7,-0.12,-0.51,-0.17,-0.21,-0.17,-
Change in Investments,13.02,-119.65,-228.62,-335.52,-75.44,40.62,97.54,-197.24,-278.28,125.05,136.87,-57.91,11.78,30.39,24.38,-131.34,-43.93,-213,-199.41,-478.08,-336.32,-396.76,350.34,-262.5,-317.2,-
Investing Cash Flow,12.7,-119.84,-228.72,-335.65,-75.54,40.37,97.51,-197.28,-278.39,124.92,136.71,-58.06,10.82,28.79,24.11,-131.58,-44.09,-213.25,-199.81,-478.78,-336.44,-397.27,350.17,-262.72,-317.36,-
Dividends Paid,0,-6.14,-6.14,-6.13,-6.23,-6.21,-6.22,-3.01,-3.01,-3.01,-3.02,-3.04,-3.24,-3.24,-3.23,-3.27,-3.29,-3.3,-3.3,-3.3,-6.06,-47.1,-0.5,-10.4,-9.8,-
Share Issuance / Repurchase,0,0,0,-4.1,-5.64,-0.08,-2.18,-4.49,-2.1,-1.42,0,-18.17,-16.55,0,-1.16,-3.75,-3.88,-1.5,0,0,0,138.29,0,0,0,-
Debt Issued / Paid,493.5,6.5,246.7,203.3,0,0,-253.5,164.2,34.2,-155,0,8.05,-25.01,1.49,-91.61,-40.81,-33.51,180.99,-188.61,-7.41,168.89,181.59,-551.91,202.09,45.59,-
Other Financing Activities,-190.94,44.96,125.57,67.51,62.13,-48.91,185.18,10.06,126.68,-12.75,-106.91,98.12,50.1,-127.67,125.54,152.63,80.39,56.38,351.79,478.13,162.74,87.83,182.24,60.53,286.67,-
Financing Cash Flow,302.56,45.32,366.13,260.59,50.27,-55.2,-76.71,166.77,155.77,-172.18,-109.94,84.96,5.3,-129.42,29.54,104.8,39.71,232.57,159.88,467.42,325.57,360.61,-370.17,252.23,322.47,-
Net Cash Flow,331.02,-70.76,170.11,-61.42,9.55,6.37,61.74,-11.35,-97.22,-35.21,43.87,46.95,31.92,-76.96,74.37,-10.66,12.88,31,-15.32,1.6,-1.16,-11.47,0.23,11.1,16.51,-
Free Cash Flow,15.44,3.56,32.6,13.52,34.72,20.96,40.91,19.13,25.29,11.93,16.93,19.89,14.84,22.07,20.46,15.87,17.11,11.43,24.2,12.26,9.59,24.68,20.07,21.38,11.24,-
Free Cash Flow Growth,-55.53%,-83.00%,-20.31%,-29.31%,37.28%,75.71%,141.58%,-3.86%,70.42%,-45.95%,-17.21%,25.32%,-13.24%,93.12%,-15.49%,29.49%,78.33%,-53.68%,20.62%,-42.65%,-14.66%,-,-,-,-,-
Free Cash Flow Margin,42.86%,9.00%,72.06%,29.82%,72.95%,43.52%,82.57%,43.56%,60.90%,31.63%,46.14%,69.63%,53.74%,66.93%,60.02%,50.22%,51.56%,34.79%,75.39%,39.96%,31.98%,88.77%,62.43%,62.12%,40.99%,-
Free Cash Flow Per Share,0.30,0.07,0.64,0.26,0.67,0.41,0.79,0.37,0.48,0.23,0.32,0.38,0.26,0.39,0.36,0.28,0.30,0.20,0.43,0.22,0.17,0.57,0.38,0.51,0.27,-
