Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.23,1.33,-0.16,-0.31,-0.34,-0.32,-0.24,-0.1
Other Operating Activities,-0.32,-1.54,-0.08,0.12,0.11,0.01,-0.19,0
Operating Cash Flow,-0.1,-0.21,-0.24,-0.19,-0.24,-0.31,-0.43,-0.09
Other Investing Activities,-1.37,-,-,-,-,-,-,-
Investing Cash Flow,-1.37,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,0,47.96,0
Debt Issued / Paid,1.43,0.25,0.14,0.26,0.04,-0.18,0.3,0
Other Financing Activities,-,-,-,-,-,-,-3.27,3.27
Financing Cash Flow,1.43,0.25,0.14,0.26,0.04,-0.18,44.99,3.27
Net Cash Flow,-0.03,0.04,-0.11,0.07,-0.19,-0.5,-2.36,3.17
Free Cash Flow,-0.1,-0.21,-0.24,-0.19,-0.24,-0.31,-0.43,-0.09
Free Cash Flow Per Share,-0.02,-0.04,-0.04,-0.03,-0.05,-0.05,-0.08,-0.08
