Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,4.15,-2.02,13.37,-0.23,-1.52,-5.43,11.14,-4.89
Other Operating Activities,-5.09,1.83,-13.44,-0.17,1.12,5.24,-11.61,4.88
Operating Cash Flow,-0.94,-0.19,-0.07,-0.4,-0.4,-0.19,-0.47,-0.01
Change in Investments,0,0,0,0,0,0,0,-200
Investing Cash Flow,0,0,0,0,0,0,0,-200
Share Issuance / Repurchase,0,0,0,0,0,0,0,196.03
Debt Issued / Paid,1.8,0.2,0,0,0,0,0,0
Other Financing Activities,-,-,-,-,-0.01,-0.03,-0.1,5.67
Financing Cash Flow,1.8,0.2,0,0,-0.01,-0.03,-0.1,201.69
Net Cash Flow,0.86,0.01,-0.07,-0.4,-0.41,-0.22,-0.57,1.68
Free Cash Flow,-0.94,-0.19,-0.07,-0.4,-0.4,-0.19,-0.47,-0.01
Free Cash Flow Per Share,-0.04,-0.01,-0.00,-0.02,-0.02,-0.01,-0.02,-0.00
