Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Net Income,13.68,16.62,13.8,13.76,8.73,12.07,10.31,17.43,12.33,13.83,9.61,2.05,4.5,5.76,5.51,6.84,5.66,3.45,3.9,3.64,3.11,-0.86,1.68,2.05,1.98,1.49,1.38,0.84,1.4,1,0.94,1.02,1.13,0.83,1.03,1.03,1.14
Depreciation & Amortization,1.19,1.18,1.32,1.21,1.11,1.05,1.05,1.04,1.03,1.01,1,0.78,0.38,0.37,0.42,0.4,0.4,0.32,0.29,0.28,0.29,0.27,0.28,0.31,0.32,0.34,0.32,0.32,0.32,0.35,0.3,0.34,0.2,0.2,0.21,0.2,0.2
Share-Based Compensation,1.2,1.32,1.33,0.29,0.76,0.8,0.81,0.75,0.5,0.53,1.36,0.35,0.21,0.34,0.38,0.29,0.09,0.2,0.28,0.23,0.31,0,0,0,0,-0.21,0.05,0.05,0.11,-0.36,0.12,0.12,0.12,0.11,0.12,0.12,0.13
Other Operating Activities,5.53,-9.09,4.25,2.78,8.86,0.74,-0.05,-7.61,4.2,-1.18,9.88,-16.09,1.12,-3.55,-0.47,-0.71,2.69,-1.26,2.54,1.14,0.58,1.4,1.34,-0.47,-0.33,-0.16,0.49,0.73,0.68,-0.09,-0.95,-1.53,0.67,-0.23,-0.5,-0.11,2.4
Operating Cash Flow,22.94,11.38,20.7,18.04,19.46,14.65,12.12,11.61,18.06,14.2,21.84,-12.91,6.21,2.92,5.84,6.82,8.84,2.71,7,5.28,4.28,0.81,3.3,1.89,1.97,1.47,2.24,1.93,2.51,0.89,0.41,-0.04,2.13,0.92,0.86,1.25,3.87
Operating Cash Flow Growth,17.86%,-22.34%,70.72%,55.40%,7.77%,3.22%,-44.48%,-,190.88%,386.70%,273.76%,-,-29.73%,7.76%,-16.58%,29.15%,106.33%,234.20%,112.11%,179.52%,117.80%,-44.75%,47.21%,-2.28%,-21.58%,63.98%,443.10%,-,17.75%,-2.51%,-51.70%,-,-44.94%,-,-,-,-
Capital Expenditures,-2.08,-0.59,-0.78,-2.51,-3.9,-2.92,-0.08,-0.6,-0.37,-0.24,0.19,-2.16,-0.75,-1.93,-1.07,-0.53,-0.43,-0.13,-0.1,-0.39,-0.31,-0.08,-0.12,-0.14,-0.17,-0.09,-0.64,-0.34,-0.26,-0.39,-0.39,-0.1,-0.07,-0.03,-0.02,-0.14,-0.03
Acquisitions,0,0,0,0,163.46,-13.73,0,-7.26,0,0,0,106,0,0,-0.01,-17.44,0,40.65,0,0,-49.8,0,0,0,0,0,0,-3.45,0,0,-0.24,87.38,0,0,0,0,0
Change in Investments,-286.09,-168.27,-303.09,-300.47,-68.28,-345.72,-137.27,-91.82,-69.28,-164.12,-15.89,-377.03,-25.7,-24.98,-68.35,-43.12,-36.61,-72.25,-30.75,-53.67,-4.24,-40.67,-55.27,-13.97,-44.11,4.56,12.15,-2.91,-44.48,-17.27,-19,-21.65,-45.08,3.92,-11.35,11.61,11.68
Other Investing Activities,-1.25,-2.65,0.23,-14.59,0.91,-0.16,5.26,2.6,-14.02,2,1.26,0.41,0.75,0.63,0.93,0.44,0.17,0.55,-0.01,0.12,0,0.38,0.69,0.01,0,0.39,0.69,0.55,0.49,2.02,0.27,0.32,0.09,-,0.34,-,-
