Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Net Income,11.98,18.49,11.72,-0.82,2.85,19.31,10.23,6.71,9.37,20.75,10.91,13.57,1.75,8.48,4.72,8.62,5.83,4.57,3.6,2.19,1.4,0.85,-0.17,-1.24,-0.88,-0.9,0,0,0
Other Operating Activities,-30.51,-214.22,-102.82,-52.89,-22.16,-85.51,-27.63,-0.16,6.44,-127.1,-37.08,-45.65,56.76,-49.28,-51.72,-52.92,-7.3,-109.08,-51.23,-18.73,-5.65,-42.45,-40.25,-34.87,1.06,-2.38,-,-,-
Operating Cash Flow,-18.53,-195.73,-91.1,-53.71,-19.31,-66.2,-17.4,6.55,15.81,-106.35,-26.17,-32.08,58.51,-40.81,-46.99,-44.31,-1.47,-104.51,-47.63,-16.54,-4.24,-41.6,-40.42,-36.11,0.17,-3.28,0,0,0
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-72.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividends Paid,-18.23,-14.59,-13.45,-12.38,-11.17,-10.35,-2.71,-2.45,-2.44,-1.86,-1.76,-1.72,-1.92,-1.88,-3.68,-1.41,-1.22,-0.74,-0.43,-0.25,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,-1.51,-4.02,-4.87,-0.41,101.15,17.84,0,0.31,50,0,0,0.32,75,0,49,66,0.23,29.77,0,0,45,40.18,39.82,0.06,4.94,0,0,0
Debt Issued / Paid,35,211.82,107.53,74.24,30.23,-14.31,2.79,-4.99,-26.78,71.74,26.3,20.02,-85.84,10.92,39.14,9.18,-62.72,94.29,29.78,15,0,0,0,0,0,0,0,0,0
Other Financing Activities,-0.74,-,-,0.02,-0.52,-6.54,-0.47,-0,-0,-0.02,0,-0.03,-0.05,-0.1,-0.13,-1.14,-0.12,-0.12,-0.04,-0.15,-,-,-,-,-,-0.65,-,-,-
Financing Cash Flow,16.04,195.72,90.06,57.01,18.12,69.96,17.44,-7.44,-28.91,119.86,24.54,18.27,-87.49,83.94,35.34,55.63,1.94,93.65,59.07,14.59,0,45,40.18,39.82,0.06,4.29,0,0,0
Net Cash Flow,-2.49,-0.01,-1.04,3.3,-1.19,3.76,0.04,-0.89,-13.11,13.51,-1.63,-13.81,-28.99,43.13,-11.66,11.32,0.47,-10.86,11.44,-1.95,-4.24,3.4,-0.24,3.71,0.23,1.01,0,0,0
Free Cash Flow,-18.53,-195.73,-91.1,-53.71,-19.31,-66.2,-17.4,6.55,15.81,-106.35,-26.17,-32.08,58.51,-40.81,-46.99,-44.31,-1.47,-104.51,-47.63,-16.54,-4.24,-41.6,-40.42,-36.11,0.17,-3.28,0,0,0
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-72.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-47.13%,-531.79%,-333.34%,-213.47%,-100.41%,-376.58%,-93.50%,34.93%,96.25%,-633.50%,-184.08%,-271.81%,394.77%,-276.50%,-397.10%,-270.23%,-12.09%,-1400.91%,-863.49%,-375.19%,-125.94%,-2179.99%,-3514.20%,-28212.62%,5266.70%,-,-,-,-
Free Cash Flow Per Share,-0.46,-4.83,-2.23,-1.30,-0.47,-1.67,-0.53,0.20,0.50,-3.47,-0.96,-1.20,2.26,-1.83,-2.35,-2.82,-0.10,-9.52,-5.37,-1.90,-0.49,-14.88,-11.38,-29.39,0.52,-304.34,-,-,-
