Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.15,0.07,-0.07,-0.01,-0,-0,-0
Other Operating Activities,-0.41,-0.22,-0.14,0.01,-0,0,-0
Operating Cash Flow,-0.26,-0.16,-0.21,-0,-0,0,-0
Share Issuance / Repurchase,0,0,68.49,0,0,0,0.03
Debt Issued / Paid,0,0,-0.35,0,0.15,0,0.1
Other Financing Activities,-,-,-67.34,-0.01,-0.07,-0.01,-0.11
Financing Cash Flow,0,0,0.79,-0.01,0.08,-0.01,0.02
Net Cash Flow,-0.26,-0.16,0.59,-0.02,0,-0,0.01
Free Cash Flow,-0.26,-0.16,-0.21,-0,-0,0,-0
Free Cash Flow Per Share,-0.04,-0.02,-0.04,-0.00,-0.00,-,-
