Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
Net Income,-525,-967,-702,957,"1,558",42,361,10,-610,"-1,045","-3,012","-1,998","4,950","-1,077",676,377,-737,"1,442",-271,-239,-67,668,-943,246,-349,"-1,765",-158,"-1,423",-
Depreciation & Amortization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,-,-
Other Operating Activities,-1,729,-280,-802,"-1,784",39,192,142,481,"1,405","3,043","2,362","-4,861","1,576",-170,49,"1,113",124,750,965,358,698,"1,648",719,709,"2,879",629,"1,423",-
Operating Cash Flow,-500,-212,-957,181,-199,102,575,173,-104,373,48,371,96,506,513,433,376,"1,566",479,726,291,"1,366",705,965,360,"1,131",471,-,-
Operating Cash Flow Growth,-,-,-,4.62%,-,-72.65%,1097.92%,-53.37%,-,-26.28%,-90.64%,-14.32%,-74.47%,-67.69%,7.10%,-40.36%,29.21%,14.64%,-32.06%,-24.77%,-19.17%,20.78%,49.68%,-,-,-,-,-,-
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-33,-28,4,156,-119,-66,29,55,352,-,-
Change in Investments,"-1,306",-412,"-2,532","-2,455","-2,501","-2,561","-5,259","-4,193",-200,"-1,720","-2,051",-599,"-1,501","-1,658","-2,750","-1,643","-1,327","-1,072","-1,455","-1,063",-929,"-1,471",-116,"-2,247",-70,"9,710",-942,-,-
Other Investing Activities,-19,-268,-45,-45,-18,-12,6,-19,-,61,-8,-42,17,16,-17,-17,55,-54,42,-29,22,-46,42,-26,19,-17,29,-,-
Investing Cash Flow,"-1,325",-680,"-2,577","-2,500","-2,519","-2,573","-5,253","-4,212",-200,"-1,659","-2,059",-641,"-1,484","-1,642","-2,767","-1,660","-1,272","-1,069","-1,446","-1,120",-903,"-1,361",-193,"-2,339",-22,"9,748",-561,-,-
Share Issuance / Repurchase,-62,-93,-136,-132,-127,-158,-149,-124,-68,-97,-54,-180,-142,-128,-126,-136,-52,-63,-42,0,0,0,0,0,0,0,0,-,-
Debt Issued / Paid,0,-1,-1,0,-1,-279,0,-1,0,-550,0,-387,0,-1,0,-1,400,0,372,-3,-3,"-2,801",598,"2,984",-3,-5,-8,-,-
Other Financing Activities,"1,457",308,"3,393","3,421","2,473","3,274","4,053","5,021",289,-148,929,-768,"7,583",-147,"2,688","1,481",267,"1,567",646,644,646,"2,955","-3,855","-2,979",249,"-8,471",402,-,-
Financing Cash Flow,"1,395",214,"3,256","3,289","2,345","2,837","3,904","4,896",221,-795,875,"-1,335","7,441",-276,"2,562","1,344",615,"1,504",976,641,643,154,"-3,257",5,246,"-8,476",394,-,-
Net Cash Flow,-430,-678,-278,970,-373,366,-774,857,-83,"-2,081","-1,136","-1,605","6,053","-1,412",308,117,-281,"2,001",9,247,31,159,"-2,745","-1,369",584,"2,403",304,-,-
Free Cash Flow,-500,-212,-957,181,-199,102,575,173,-104,373,48,371,96,506,513,433,376,"1,566",479,726,291,"1,366",705,965,360,"1,131",471,-,-
Free Cash Flow Growth,-,-,-,4.62%,-,-72.65%,1097.92%,-53.37%,-,-26.28%,-90.64%,-14.32%,-74.47%,-67.69%,7.10%,-40.36%,29.21%,14.64%,-32.06%,-24.77%,-19.17%,20.78%,49.68%,-,-,-,-,-,-
Free Cash Flow Margin,-38.94%,-46.70%,-64.57%,4.77%,-9.89%,5.06%,22.89%,10.32%,-11.09%,284.73%,15.53%,-,1.07%,165.36%,16.10%,18.27%,54.41%,38.90%,33.68%,42.66%,16.03%,72.66%,35.75%,47.65%,37.31%,-,26.67%,-,-
Free Cash Flow Per Share,-7.39,-3.07,-13.32,2.42,-2.60,1.28,6.92,2.02,-1.19,4.17,0.52,3.95,0.91,4.69,4.61,3.74,3.22,13.20,4.00,6.06,2.43,11.40,5.89,8.06,3.01,9.44,3.93,-,-
