Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,2.43,1.6,2.53,2.67,4.13,10.19,-1.87
Other Operating Activities,-2.78,-1.68,-2.57,-2.94,-4.33,-10.19,1.87
Operating Cash Flow,-0.34,-0.09,-0.04,-0.28,-0.2,-,-
Change in Investments,253.48,0.19,0,0,0,-,-
Investing Cash Flow,253.48,0.19,0,0,0,-,-
Share Issuance / Repurchase,-253.35,0,0,0,0,-,-
Financing Cash Flow,-253.35,0,0,0,0,-,-
Net Cash Flow,-0.21,0.1,-0.04,-0.28,-0.2,-,-
Free Cash Flow,-0.34,-0.09,-0.04,-0.28,-0.2,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.01,-,-
