Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Net Income,-19.49,6.12,10.5,9.34,-18.61,-0.6,-1.28,-0.61,-0.33,-1.23,-1.14,-0.98,-1.76,-0.63
Depreciation & Amortization,0.73,0.72,0.78,0.61,0.52,0.39,0.38,0.33,0.32,0.34,0.33,0.33,0.32,-
Share-Based Compensation,0.02,0.31,0.18,0.74,0.08,0.15,0.17,0.35,0.41,0.22,0.45,0.39,0.47,-
Other Operating Activities,17.73,-8.02,-12.42,-11.03,17.06,0.25,-0.11,-0.71,0.59,-0.54,0.34,0.03,0.71,0.63
Operating Cash Flow,-1.01,-0.87,-0.97,-0.34,-0.95,0.19,-0.85,-0.65,0.99,-1.21,-0.02,-0.22,-0.26,-
Capital Expenditures,-0,-0.05,-0.02,-0,-0.05,-0.02,0,0,0,0,0,0,0,-
Acquisitions,0.45,0,-6,-18.14,0,0,-1.61,0,0.21,-0.95,-0.2,-1,-0,-
Other Investing Activities,-0.11,-0.31,-0.22,-0.25,-0.29,-0.18,-0.15,-,-,-,-,-,-,-
Investing Cash Flow,0.34,-0.36,-6.23,-18.39,-0.34,-0.2,-1.76,0,0.21,-0.95,-0.2,-1,-0,-
Share Issuance / Repurchase,-0,0,0,20.33,0,0,0.01,10.48,-0.67,0.87,0,1,2.57,-
Debt Issued / Paid,-0.38,1.07,6.03,-0.24,-0.23,-0.23,-0.59,-0.35,-0.5,1.03,0.4,0.32,0.19,-
Other Financing Activities,-0.06,-1.22,-0.41,-,-,-0.45,-,-,-,-,0,-0,-2.57,-
Financing Cash Flow,-0.44,-0.15,5.62,20.09,-0.23,-0.68,-0.58,10.13,-1.16,1.9,0.4,1.32,0.19,-
Net Cash Flow,-1.11,-1.37,-1.58,1.36,-1.52,-0.69,-3.19,9.49,0.03,-0.26,0.18,0.09,-0.07,-
Free Cash Flow,-1.02,-0.91,-0.99,-0.35,-1,0.16,-0.85,-0.65,0.99,-1.21,-0.02,-0.22,-0.26,-
Free Cash Flow Margin,-24.41%,-21.99%,-23.41%,-8.20%,-38.09%,6.38%,-38.64%,-27.83%,50.01%,-71.86%,-1.41%,-11.16%,-14.84%,-
Free Cash Flow Per Share,-1.11,-0.79,-0.79,-0.29,-1.36,0.23,-1.16,-1.29,3.49,-4.35,-0.08,-1.15,-1.35,-
