Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Net Income,10.49,8.33,9.83,10.48,3.07,7.65,4.99,5.88,2.12,9.58,3.48,-46.81,2.58,5.18,3.88,3.54,4.7,-0.96,3.32
Depreciation & Amortization,0.51,0.53,0.52,0.53,0.54,0.64,0.6,0.5,0.67,0.61,0.62,0.61,0.6,0.69,0.54,0.62,0.62,0.37,-
Share-Based Compensation,1,0.93,0.93,0.81,0.67,0.56,0.57,0.55,0.49,0.25,0.25,0.25,0.21,0,0,0,0,0,-
Other Operating Activities,-24.08,30.09,-15.88,-10.72,7.51,8.49,9.49,-0.03,5.88,7.09,9.27,19.37,-2.02,-34.02,-90.81,-34.56,34.3,-50.83,-3.32
Operating Cash Flow,-11.93,40.02,-4.44,1.26,11.84,18.05,18.68,10.47,10.42,17.53,13.62,22.37,1.37,-28.14,-86.4,-30.41,39.61,-51.43,-
Operating Cash Flow Growth,-,121.73%,-,-87.93%,13.55%,2.97%,37.10%,-53.20%,663.10%,-,-,-,-96.55%,-,-,-,-,-,-
Capital Expenditures,-0.05,-0.05,-0.06,-0.15,-0.07,-0.15,-0.05,-0.07,-0.06,-0.25,-0.29,-0.29,-0.74,-0.5,-0.6,-0.56,-0.34,-0.48,-
Acquisitions,0,0,0,0,0,-10.76,0,0,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,-71.9,-92.71,-312.36,-209.16,-292.35,-336.59,-178.33,-87.7,-51.98,15.76,70.29,60.43,-53.33,-89.25,-95.25,-71.51,-53.91,-73.98,-
Other Investing Activities,0.37,3.59,1.23,-4.91,-1.24,7.31,1.73,1.79,-1.62,-1.11,0.64,-5.38,2.01,2.86,4.77,-3.93,2.3,3.69,-
Investing Cash Flow,-71.58,-89.17,-311.19,-214.22,-293.66,-340.19,-176.65,-85.99,-53.66,14.4,70.64,54.77,-52.06,-86.9,-91.09,-76,-51.95,-70.77,-
Share Issuance / Repurchase,-0.84,0.61,0,0,-0.46,0,0.14,0,0,0,0,2.16,100.8,0,0,0,0,0,-
Debt Issued / Paid,78.48,69.7,301.07,220.96,282.14,324.83,167.65,83.94,50.18,-38.67,-73.77,-115.94,-63.62,130.59,201.55,103.12,14.6,104.35,-
Other Financing Activities,-0.16,-,-,-,-,-0.17,-0.39,-,-,-,-0,41.05,-1.9,-,-27.71,-,-,-,-
Financing Cash Flow,77.48,70.31,301.07,220.96,281.68,324.66,167.39,83.94,50.18,-38.67,-73.77,-72.74,35.28,130.59,173.84,103.12,14.6,104.35,-
Net Cash Flow,-6.02,21.15,-14.56,8,-0.14,2.52,9.42,8.42,6.95,-6.74,10.49,4.41,-15.42,15.55,-3.65,-3.29,2.26,-17.85,-
Free Cash Flow,-11.98,39.97,-4.5,1.11,11.77,17.9,18.63,10.4,10.37,17.28,13.33,22.09,0.62,-28.65,-87,-30.97,39.27,-51.91,-
Free Cash Flow Growth,-,123.26%,-,-89.30%,13.56%,3.61%,39.73%,-52.92%,1566.40%,-,-,-,-98.42%,-,-,-,-,-,-
Free Cash Flow Margin,-33.01%,124.48%,-16.81%,3.83%,72.34%,76.27%,83.81%,44.19%,68.10%,76.79%,78.93%,163.22%,3.94%,-159.54%,-614.41%,-232.77%,260.07%,-422.56%,-
Free Cash Flow Per Share,-0.37,1.25,-0.14,0.04,0.37,0.79,0.93,0.52,0.52,0.86,0.66,1.10,0.03,-1.51,-4.58,-1.63,2.07,-2.73,-
