Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.72,0.73,-0.21,-0.01,-0,-0
Other Operating Activities,-0.79,-0.76,-0.18,0.01,0,0
Operating Cash Flow,-0.07,-0.03,-0.39,0.01,0,0
Share Issuance / Repurchase,0,0,120.3,0.03,0,0
Debt Issued / Paid,0,0,-0.2,0.19,0,0
Other Financing Activities,0,-0,-119.27,-0.22,-,-
Financing Cash Flow,0,-0,0.83,-0,0,0
Net Cash Flow,-0.07,-0.03,0.44,0,0,0
Free Cash Flow,-0.07,-0.03,-0.39,0.01,0,0
Free Cash Flow Per Share,-0.01,-0.00,-0.03,0.00,-,-
