Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Net Income,-4.21,0.89,-9.99,-45.91,1.91,6.13,-4.74,-2.64,9.67,21.58,3.66,18.73,-3.59,17.13,-6.98,2.48,13.77,14.89,9.84,0.23,6.12,13.91,-2.73,0.13,4.69,1.1,-1,-1.76,6.21,6.98
Depreciation & Amortization,0.3,0.31,0.29,0.29,0.29,0.31,0.28,0.29,0.29,0.61,1.25,2.01,2.07,0.18,0.24,0.56,1.28,2.53,1.22,0.1,0.14,0.13,0.14,0.44,-0.17,0.08,0.17,0.11,0.14,0.39
Share-Based Compensation,0.51,-0.07,-0.65,0.49,0.57,1.16,0.52,0.52,0.67,1.01,0.49,0.46,0.71,0.74,0.34,0.32,0.62,0.64,0.26,0.28,0.46,0.82,0,0,0,0,0,0,0,0
Other Operating Activities,-0.95,-6.84,-27.99,54.93,1.09,12.08,-8.28,12.75,0.17,-3.13,3.74,-3.02,4.42,9.11,-6.13,3.46,-11.44,7.6,-30.73,9.75,-2.38,11.36,-15.65,3.72,1.65,25.14,-26.3,4.01,-0.59,14.93
Operating Cash Flow,-4.35,-5.71,-38.33,9.8,3.85,19.68,-12.22,10.91,10.79,20.07,9.14,18.19,3.62,27.16,-12.54,6.81,4.23,25.67,-19.41,10.36,4.34,26.22,-18.24,4.29,6.16,26.31,-27.13,2.36,5.77,22.3
Operating Cash Flow Growth,-,-,-,-10.23%,-64.34%,-1.93%,-,-39.99%,198.51%,-26.12%,-,167.14%,-14.54%,5.82%,-,-34.29%,-2.49%,-2.11%,-,141.77%,-29.61%,-0.35%,-,81.80%,6.90%,17.99%,-,-,-,-
Capital Expenditures,-0.24,-0.11,-0.26,0.45,0.05,-0.14,-0.14,-0.3,-0.12,-0.05,-0.05,-0.13,-0.31,-0.28,-0.24,-0.36,-0.41,-0.99,-0.18,-0.24,-0.14,-0.51,-0.29,-0.27,-0.27,0.16,-0.45,-0.06,-0.2,-0.31
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0,0,0,0,0,27.49,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,19.67,6.52,30.97,-0.22,-12.36,4.46,-0.19,-0.4,-51.32,10.63,-1.07,-1.55,-6.57,10.07,-22.58,-14,-2.66,-4.4,12.82,-4.37,-6.6,-1.19,3.37,-84.13,-8.66,-4.49,11.23,-5.57,-4.21,-16.05
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.06,0.02,-0,0.04,-,-,-,0.02,0.08,-,-,0,-,-,-,0.07,-0
Investing Cash Flow,19.43,6.41,30.71,0.23,-12.3,4.32,-0.33,-0.7,-51.44,10.58,-1.11,-1.69,-7.58,9.73,-22.8,-14.36,-3.03,-5.38,40.12,-4.61,-6.72,-1.61,3.08,-84.4,-8.93,-4.32,10.78,-5.64,-4.33,-16.36
Share Issuance / Repurchase,-0.79,-1.31,-1.14,-0.94,-1.56,-1.11,-0.94,-1.67,-1.08,-0.87,-4.58,-5.28,-1.53,0,0,-2,-0.02,-3,0,0,0,0,0,-8.04,93.15,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.31,8.31,0,0,-3
Other Financing Activities,-,-6.67,-,-,-6.67,-,-,-,-6.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.4,-,-,-,-,-
Financing Cash Flow,-0.79,-7.98,-1.14,-0.94,-8.23,-1.11,-0.94,-1.67,-7.75,-0.87,-4.58,-5.28,-1.53,0,0,-2,-0.02,-3,0,0,0,0,0,-8.04,90.75,-8.31,8.31,0,0,-3
Net Cash Flow,14.28,-7.28,-8.76,9.09,-16.68,22.89,-13.49,8.54,-48.39,29.77,3.45,11.22,-5.5,36.89,-35.33,-9.55,1.18,17.29,20.71,5.75,-2.39,24.61,-15.16,-88.15,87.98,13.68,-8.04,-3.28,1.43,2.94
Free Cash Flow,-4.59,-5.82,-38.59,10.24,3.9,19.54,-12.36,10.61,10.68,20.01,9.1,18.05,3.31,26.88,-12.78,6.45,3.82,24.68,-19.6,10.12,4.2,25.72,-18.53,4.02,5.89,26.47,-27.58,2.29,5.57,21.99
Free Cash Flow Growth,-,-,-,-3.50%,-63.45%,-2.36%,-,-41.21%,222.96%,-25.55%,-,179.78%,-13.48%,8.91%,-,-36.22%,-8.98%,-4.02%,-,152.00%,-28.75%,-2.87%,-,75.02%,5.82%,20.37%,-,-,-,-
Free Cash Flow Margin,-5.63%,-6.23%,-43.27%,13.51%,5.90%,22.89%,-14.61%,12.76%,15.08%,23.92%,11.25%,18.87%,7.16%,37.70%,-18.19%,9.40%,6.31%,43.28%,-30.57%,19.12%,10.95%,51.24%,-32.76%,8.43%,16.95%,78.18%,-46.52%,5.89%,17.60%,68.72%
Free Cash Flow Per Share,-0.21,-0.27,-1.81,0.48,0.18,0.92,-0.58,0.49,0.50,0.93,0.42,0.82,0.15,1.21,-0.58,0.29,0.17,1.10,-0.88,0.45,0.19,1.15,-0.83,0.18,0.26,1.15,-1.20,-,-,-
