Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,3.1,3.09,2.97,5.66,2.04,-0.01,-0.01
Share-Based Compensation,0,0,0,0,0.56,0,0
Other Operating Activities,-3.2,-3.28,-3.09,-5.68,-3.18,-,0.01
Operating Cash Flow,-0.11,-0.19,-0.12,-0.02,-0.58,-0.01,0
Change in Investments,0,0,0,0,-345,0,0
Investing Cash Flow,0,0,0,0,-345,0,0
Share Issuance / Repurchase,0,0,0,0,338.1,0,0
Debt Issued / Paid,0,0.1,0.1,0,-0.2,0.05,0
Other Financing Activities,-,-0.14,-0.25,0.08,8.49,-0.05,-
Financing Cash Flow,0,-0.04,-0.15,0.08,346.39,0.01,0
Net Cash Flow,-0.11,-0.23,-0.27,0.06,0.81,0,0
Free Cash Flow,-0.11,-0.19,-0.12,-0.02,-0.58,-0.01,0
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.03,-0.00,-
