Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,1.67,0.85,0.02,-0.43,-0.2,-0.02
Other Operating Activities,-1.09,-0.92,-0.16,0.16,-1,0.02
Operating Cash Flow,0.58,-0.07,-0.14,-0.27,-1.21,0
Change in Investments,-0.7,0.04,0,0,-234.6,0
Investing Cash Flow,-0.7,0.04,0,0,-234.6,0
Share Issuance / Repurchase,0,0,0,0,236.6,0
Other Financing Activities,-,-,-,-,-0.38,-
Financing Cash Flow,0,0,0,0,236.22,0
Net Cash Flow,-0.12,0.27,-0.14,-0.27,0.42,0
Free Cash Flow,0.58,-0.07,-0.14,-0.27,-1.21,0
Free Cash Flow Per Share,0.02,-0.00,-0.01,-0.01,-0.14,-
