Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Net Income,3.05,-57.02,-84.49,-40.68,-8.49,-395.45,21.38,2.27,119.86,151.02,246.29,148.34,6.73,51.34,1.45,1.64,-0.01
Depreciation & Amortization,0,71.53,0,0,0,57.33,0,0,6.78,23.15,0,0,0,25,0,0,0
Share-Based Compensation,0,47.86,0,0,0,71.81,0,0,0,0,0,0,0,2.92,0,0,0
Other Operating Activities,218.76,284.44,390.84,471.6,332.23,124.3,-84.35,-11.92,-8.59,-483.48,-505.86,-265.44,-6.82,22.87,-1.62,-2.47,0.01
Operating Cash Flow,221.82,346.8,306.36,430.92,323.74,-142.02,-62.96,-9.65,118.04,-309.32,-259.57,-117.1,-0.1,102.13,-0.17,-0.83,-0
Operating Cash Flow Growth,-31.48%,-,-,-,174.26%,-,-,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,-1.92,-2.04,-1.77,-3.25,-4.18,-5.32,-3.72,-4.92,-4.18,-3.42,-1.48,0,0,-4.29,0,0,0
Acquisitions,-140.85,8,0,-8,0,-5.29,-2.84,-20.31,-0.75,0.96,-0.57,0,0,0,0,0,0
Change in Investments,-82.44,-162.84,-428.19,-619.55,-582.39,-387.25,-365.63,-312.66,-268.65,130.1,-119.54,0,0,"-1,733.39",0,0,0
Other Investing Activities,-1.54,-6.08,-0.24,4.99,-13.54,4.51,-,-,-38.47,-7.55,-,-,-,-0.46,-,-,-
Investing Cash Flow,-226.76,-162.96,-430.2,-625.81,-600.11,-393.34,-372.19,-337.89,-312.05,120.09,-121.59,0,0,"-1,738.14",0,0,0
Share Issuance / Repurchase,30,0,0,0,0,0,0,0,0,0,0,0,0,-295.25,0,295.25,0
Debt Issued / Paid,30.03,-284.44,-69.99,231.26,355.76,496.96,440.82,435.77,384.36,603.97,497.65,"1,007.72",0,"2,070.79",0,-0.25,0.25
Other Financing Activities,-0.84,-1.28,-0.68,-5.19,-0.22,-14.83,-0.42,-203.33,-76.66,-389.16,-2.52,0.21,-,2.29,-,-4.98,-0.17
Financing Cash Flow,59.19,-285.72,-70.67,226.07,355.54,482.13,440.4,232.44,307.7,214.81,495.13,"1,007.93",0,"1,777.83",0,290.02,0.08
Net Cash Flow,54.32,-101.78,-194.62,31.01,79.19,-53.32,5.24,-115.1,113.68,25.61,113.97,17.22,-0.1,141.85,-0.17,1.68,0.08
Free Cash Flow,219.9,344.76,304.59,427.67,319.57,-147.33,-66.68,-14.57,113.87,-312.73,-261.05,-117.1,-0.1,97.84,-0.17,-0.83,-0
Free Cash Flow Growth,-31.19%,-,-,-,180.65%,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,156.11%,368.39%,428.38%,303.06%,693.83%,-38.47%,-14.61%,-3.74%,22.43%,-58.00%,-42.99%,-25.16%,-,10.97%,-,-,-
Free Cash Flow Per Share,3.44,5.45,4.85,6.86,5.26,-2.46,-1.11,-0.24,3.17,-8.70,-7.26,-3.26,-0.00,2.72,-0.01,-0.02,-
