Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Net Income,27.11,11.58,36.96,3.79,29.81,33.09,46.75,41.99,35.03,37.3,32.75,55.6,-121.1,26.84,-8.99,9.76,33.73,-1.16,6.08,13.11,21.09,26.98,25.54,15.5,16.17,17.4,29.17,25.95,-2.71,-9.98,9.65,9.22,9.79,-3.93,0.94,4.59,4.02,1.76,-1.17,-2.51
Other Operating Activities,-2.43,-32.45,34.4,-93.19,20.12,60.01,-96.2,-45.1,-3.64,121.75,-40.64,106.33,110.89,6.19,-48.25,66.08,-177.24,43.85,-40.74,-64.82,51.39,2.35,-249.58,-264.12,41.49,-75.2,-148.46,-93.42,-67.35,-83.22,-88.26,-117.49,-119.65,-154.06,-106.04,-73.68,-97.6,-113.74,-83.92,2.51
Operating Cash Flow,25.56,-19.99,72.23,-88.52,50.8,93.97,-48.58,-2.23,32.27,159.91,-7.03,162.49,-10.21,33.03,-57.24,75.83,-143.51,42.69,-34.66,-51.72,72.48,29.34,-224.04,-248.62,57.67,-57.8,-119.29,-67.47,-70.06,-93.2,-78.61,-108.28,-109.86,-158,-105.1,-69.09,-93.58,-111.99,-85.09,-
Operating Cash Flow Growth,-49.69%,-,-,-,57.43%,-41.24%,-,-,-,384.16%,-,114.27%,-,-22.62%,-,-,-,45.51%,-,-,25.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividends Paid,-23.35,-21.53,-21.74,-21.94,-21.61,-21.29,-20.4,-21.18,-20.79,-21.71,-22.24,-20.83,-31.77,-21.84,-27.09,-22.68,-35.49,-23.15,-23.15,-23.15,-23.85,-16.41,-22.72,-17.01,-19.91,-15.83,-13.88,-13.28,-18.21,-11.62,-9.86,-7.81,-6.26,-5.94,-3.47,-2.45,0,0,0,-
Share Issuance / Repurchase,-3.99,-7.34,-7.14,-6.97,-7.01,-7.94,-6.77,-8.16,-5.57,-11.25,0,0,-16,-17.2,-17.17,-16.27,-14.09,-4.87,0,0,-0.02,-0.07,6.51,350.99,0,35.44,60,57.1,33,69.26,22.01,108.08,63.01,86.51,12.79,0,65.47,60.46,87,-
Debt Issued / Paid,14.15,10.72,-13.99,87.21,-45.75,-17.83,62.51,55.48,-38.84,-95.62,36.44,-227.26,86.76,-27.53,107.46,-12.63,145.97,-40.39,142.79,57.18,-35.05,-15.97,246.88,-101.73,-31.37,26.85,89.62,25.47,45,54.71,42.67,44.14,54.7,76.09,78.54,75.95,9.01,30.78,31.11,-
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,0.36,-0.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.07,-
Financing Cash Flow,-13.19,-18.14,-42.88,58.3,-74.36,-47.06,35.34,26.14,-65.2,-128.58,14.2,-198.1,38.99,-66.56,63.2,-51.58,96.4,-68.41,119.64,34.03,-58.91,-32.45,231.03,231.9,-51.28,46.45,135.74,69.29,59.79,112.35,54.82,144.41,111.45,156.66,87.86,73.51,74.48,91.23,118.03,-
Net Cash Flow,12.37,-38.14,29.35,-30.22,-23.56,46.91,-13.24,23.91,-32.93,31.33,7.17,-35.61,28.77,-33.53,7.96,22.25,-47.12,-25.73,84.98,-17.68,13.57,-3.11,6.99,-16.72,6.39,-11.35,16.45,1.82,-10.27,19.15,-23.79,36.13,1.59,-1.34,-17.24,4.42,-19.1,-20.76,32.94,-
Free Cash Flow,25.56,-19.99,72.23,-88.52,50.8,93.97,-48.58,-2.23,32.27,159.91,-7.03,162.49,-10.21,33.03,-57.24,75.83,-143.51,42.69,-34.66,-51.72,72.48,29.34,-224.04,-248.62,57.67,-57.8,-119.29,-67.47,-70.06,-93.2,-78.61,-108.28,-109.86,-158,-105.1,-69.09,-93.58,-111.99,-85.09,-
Free Cash Flow Growth,-49.69%,-,-,-,57.43%,-41.24%,-,-,-,384.16%,-,114.27%,-,-22.62%,-,-,-,45.51%,-,-,25.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,43.78%,-35.68%,122.13%,-198.63%,106.93%,213.70%,-111.00%,-5.23%,79.00%,367.50%,-16.43%,358.89%,-20.20%,61.78%,-102.62%,133.35%,-260.04%,75.80%,-67.59%,-98.59%,152.65%,59.25%,-525.31%,-641.69%,169.11%,-174.33%,-411.95%,-262.03%,-303.14%,-450.56%,-401.05%,-679.92%,-846.44%,-2684.71%,-998.85%,-694.78%,-1410.82%,-2943.98%,-7431.62%,-
Free Cash Flow Per Share,0.50,-0.39,1.39,-1.69,0.96,1.76,-0.90,-0.04,0.59,2.86,-0.13,2.89,-0.18,0.56,-0.96,1.25,-2.32,0.68,-0.55,-0.83,1.16,0.47,-3.62,-5.41,1.38,-1.42,-3.18,-1.96,-2.19,-3.17,-2.89,-4.70,-5.61,-12.07,-8.09,-5.36,-8.72,-37.13,-21.31,-
