Metrics,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28
Net Income,1.03,0.78,0.24,-0.07,-0.05
Other Operating Activities,-1.2,-0.87,-0.34,-0.18,-0.03
Operating Cash Flow,-0.17,-0.09,-0.1,-0.25,-0.08
Change in Investments,-1.15,0,-0,0,-116.73
Investing Cash Flow,-1.15,0,-0,0,-116.73
Share Issuance / Repurchase,0,0,0,0,117.72
Debt Issued / Paid,1.15,0,0,0,-0.17
Financing Cash Flow,1.15,0,0,0,117.54
Net Cash Flow,-0.17,-0.09,-0.1,-0.25,0.74
Free Cash Flow,-0.17,-0.09,-0.1,-0.25,-0.08
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.02,-0.02
