Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Net Income,-0.54,-0.35,0.99,2.91,-0.4,6.16,-3.15,3.43,-7.72,0.1,-0
Other Operating Activities,-0.13,-0.16,-0.97,-3.13,0.17,-6.65,2.75,-3.54,7.64,-0.32,0
Operating Cash Flow,-0.67,-0.52,0.02,-0.22,-0.22,-0.49,-0.4,-0.11,-0.09,-0.22,0
Change in Investments,43.23,-0.21,-0.64,96.34,0,0,0,0,0,0,0
Investing Cash Flow,43.23,-0.21,-0.64,96.34,0,0,0,0,0,0,0
Share Issuance / Repurchase,-43.28,0,0,-96.76,0,0,0,0,0,140.88,0
Debt Issued / Paid,0.37,0.8,0.71,0.57,0.3,0.3,0,0,0,-0.25,0.01
Other Financing Activities,0.18,-,-,-,-,-,-,-,-,4.15,-
Financing Cash Flow,-42.73,0.8,0.71,-96.19,0.3,0.3,0,0,0,144.77,0.01
Net Cash Flow,-0.17,0.07,0.1,-0.08,0.08,-0.19,-0.4,-0.11,-0.09,0.81,0.01
Free Cash Flow,-0.67,-0.52,0.02,-0.22,-0.22,-0.49,-0.4,-0.11,-0.09,-0.22,0
Free Cash Flow Per Share,-0.09,-0.06,0.00,-0.03,-0.01,-0.03,-0.02,-0.01,-0.01,-0.01,-
