Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+42 Quarters
Net Income,26.49,30.77,104.8,85.13,186.65,132.68,53.14,83.87,123.6,234.99,71.5,86.48,-40.53,42.38,33.21,24.62,41.59,21.63,42.93,49.44,113.93,48.1,46.3,28.74,50.03,98.35,84.29,26.15,47.96,83.35,48.96,70.91,64.77,73.61,85.22,74.99,73.79,70.52,62.83,101.24,Upgrade
Depreciation & Amortization,35.46,63.82,41.32,39.04,37.77,20.19,38.59,40.88,39.83,51.74,53.1,56.47,48.76,52.41,50.62,51.48,46.95,47.87,47.59,45.92,43.3,38,33.02,32.5,34.31,38.56,21.69,31.22,31.08,32.69,30.85,29.97,30.23,29.65,29.11,27.21,22,21.15,19.17,19.08,Upgrade
Share-Based Compensation,3.84,4.3,3.7,3.25,2.92,2.85,2.84,2.93,2.05,11.2,1.96,1.72,1.86,1.83,1.81,1.66,1.48,1.76,2.05,1.57,1.16,1.05,1.11,1.14,1.12,0.79,1.18,1.15,1.24,5.35,0,0,0,1.34,3.36,0,0,0.82,0.96,1.56,Upgrade
Other Operating Activities,57.06,-71.71,23.34,170.83,48.01,-11.94,56.11,9.53,-116.83,-121.87,152.08,-105.82,-154.54,59.38,75.11,44.07,-229.68,6.09,29.36,-83.25,-100.44,-1.97,-18.27,64.72,-37.63,-96.33,-23.56,12.2,24.23,-37.38,35.56,-38.24,34.36,-10.22,-11.1,-34.33,-7.18,92.08,-33.54,-53.69,Upgrade
Operating Cash Flow,122.85,27.19,173.16,298.25,275.35,143.78,150.68,137.21,48.66,176.07,278.64,38.85,-144.46,156,160.75,121.83,-139.67,77.34,121.93,13.68,57.95,85.18,62.17,127.09,47.83,41.36,83.6,70.72,104.51,84.01,115.37,62.64,129.35,94.38,106.6,67.87,88.6,184.57,49.42,68.2,Upgrade
Operating Cash Flow Growth,-55.39%,-81.09%,14.92%,117.37%,465.89%,-18.34%,-45.92%,253.13%,-,12.86%,73.33%,-68.11%,-,101.72%,31.84%,790.64%,-,-9.21%,96.12%,-89.24%,21.16%,105.94%,-25.63%,79.72%,-54.24%,-50.77%,-27.54%,12.90%,-19.20%,-10.99%,8.23%,-7.71%,45.98%,-48.86%,115.69%,-0.48%,4.25%,376.68%,-50.25%,12.36%,Upgrade
Capital Expenditures,-24.43,-15,-10.27,-18.36,-15.79,-16.36,-13.81,-10.89,-17.9,-32.61,-33.7,-21.43,-25.56,-24.82,-23.97,-18.9,-24.81,-28.54,-31.47,-36.94,-28.07,-49.35,-35.84,-44.35,-26.47,-20.78,-17.24,-14.32,-15.26,-4.01,-3.24,-1.15,-8.37,-4.8,-12.67,-5.88,-3.15,-5.29,-2.16,-6.78,Upgrade
Acquisitions,0,1.87,-29.22,-13.95,-1.05,-1.2,-0.63,-1.12,-19.73,-102.41,0,-33.9,-41.22,-68.96,0,-5.87,-26.71,66.41,-44.52,0,-109.15,4.51,0,0,0,-29.63,0,0,0,-46.97,0,0,0,-1.25,0,-43.67,-1.91,0,0,0,Upgrade
Change in Investments,748.36,545.88,941.81,266.19,619.91,660.05,801.3,-699.78,505.99,-197.39,270.06,666.95,172.45,425.73,361.1,493.95,437.82,166.28,225.07,"-1,150.97",239.55,748.85,683.91,784.16,884.56,754.81,959.86,953.08,837.24,556.72,540.03,277.04,40.2,505.15,631.07,"-1,437.48",316.21,548.48,-183.15,279.77,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.4,91.93,-39.02,-92.3,63.5,-12.92,16.53,-,-51.14,-,-29.36,29.36,-140.54,4.8,135.74,Upgrade
Investing Cash Flow,723.93,532.75,902.32,233.89,603.07,642.49,786.86,-711.78,468.36,-332.42,236.35,611.61,105.67,331.95,337.14,469.18,386.3,204.15,149.08,"-1,187.91",102.33,704.02,648.06,739.81,858.09,743.8,"1,034.54",899.74,729.68,569.24,523.87,292.43,31.83,447.97,618.4,"-1,516.39",340.51,402.66,-180.51,408.73,Upgrade
Dividends Paid,-9.65,-9.65,-8.93,-8.97,-9.06,-9.14,-8.41,-8.48,-8.44,-8.44,-7.66,-7.73,-7.95,-7.94,-7.14,-7.17,-7.23,-7.3,-6.53,-6.51,-6.51,-6.53,-5.77,-5.91,-5.9,-5.9,-5.1,-5.1,-5.09,-5.37,-4.49,-4.56,-4.61,-4.63,-4.63,-4.64,-4.64,-4.64,-4.64,-4.65,Upgrade
Share Issuance / Repurchase,-2.91,-4.03,-13.89,-45.67,-32.46,-30.27,-24.66,-0.09,-1.63,0.19,-4.15,-66.9,-0.84,0.23,0.23,-23.42,-15.9,-28.45,0.3,-4.68,-11.14,-5.34,-44.9,-16.61,-1.37,-8.72,-7.44,-0.21,-51.84,-29.34,-15.43,-42.91,-7.69,-2.2,-3.85,-8.29,-0.72,0,-3.89,-2.16,Upgrade
Debt Issued / Paid,"-1,210.71",-418.55,"-1,086.23",-631.55,-905.07,-995.35,-786.22,615.38,-577.12,96.36,-522.62,-752.54,-74.67,-396.3,-410.84,-557.96,-364.25,-48.8,-233.87,"1,224.28",-145.96,-919.19,-566.81,-847.4,"-1,091.77",-644.33,"-1,097.73",-957.16,-790.61,-673.08,-687.03,-225.34,-179.3,-479.28,-733.76,"1,447.51",-379.83,-570.43,122.71,-450.82,Upgrade
Other Financing Activities,-82.99,186.3,-96.88,150.78,51.49,191.54,55.51,97.98,59.04,125.09,-0.33,-2.31,-0.02,0.45,4.08,-0.09,-0.02,-0.02,0.21,0.23,-13.47,-1.22,6.12,-0.21,12.29,-0.45,0.03,0.24,0.86,3.56,-0.08,-0.03,-,-0.35,-0.28,-1.06,-0.09,-0.29,-0.28,-0.78,Upgrade
Financing Cash Flow,"-1,306.26",-245.94,"-1,205.92",-535.41,-895.11,-843.22,-763.77,704.79,-528.15,213.21,-534.76,-829.49,-83.48,-403.55,-413.68,-588.64,-387.4,-84.56,-239.89,"1,213.32",-177.08,-932.28,-611.36,-870.12,"-1,086.74",-659.39,"-1,110.24",-962.23,-846.69,-704.22,-707.02,-272.83,-191.61,-486.45,-742.52,"1,433.51",-385.28,-575.36,113.9,-458.4,Upgrade
Net Cash Flow,-459.57,314.29,-130.71,-3.62,-16.52,-56.89,173.71,130.18,-11.2,56.85,-19.77,-179.02,-122.26,84.39,84.21,2.37,-140.77,196.93,31.11,39.08,-16.79,-143.09,98.87,-3.21,-180.82,125.77,7.9,8.22,-12.5,-50.97,-67.78,82.23,-30.44,55.9,-17.52,-15,43.84,11.88,-17.19,18.52,Upgrade
Free Cash Flow,98.42,12.19,162.89,279.89,259.56,127.42,136.87,126.32,30.76,143.45,244.93,17.42,-170.02,131.18,136.79,102.93,-164.48,48.79,90.46,-23.26,29.88,35.83,26.33,82.74,21.36,20.58,66.35,56.4,89.26,80.01,112.13,61.49,120.98,89.59,93.93,61.99,85.46,179.28,47.26,61.42,Upgrade
Free Cash Flow Growth,-62.08%,-90.43%,19.01%,121.57%,743.81%,-11.17%,-44.12%,625.11%,-,9.36%,79.06%,-83.07%,-,168.85%,51.22%,-,-,36.18%,243.58%,-,39.90%,74.10%,-60.32%,46.72%,-76.07%,-74.28%,-40.83%,-8.28%,-26.22%,-10.69%,19.38%,-0.81%,41.56%,-50.03%,98.75%,0.94%,3.95%,395.99%,-50.96%,4.81%,Upgrade
Free Cash Flow Margin,33.09%,3.95%,42.25%,83.34%,53.85%,32.17%,48.74%,41.73%,8.60%,26.57%,78.34%,5.54%,-100.36%,47.68%,49.64%,44.18%,-63.77%,22.84%,34.02%,-9.14%,9.39%,18.94%,12.62%,49.26%,10.47%,6.60%,27.78%,37.94%,48.52%,32.24%,56.95%,27.07%,55.58%,40.93%,37.67%,26.77%,38.45%,81.40%,23.50%,23.67%,Upgrade
Free Cash Flow Per Share,2.63,0.33,4.36,7.42,6.82,3.32,3.55,3.26,0.80,3.72,6.36,0.44,-4.25,3.29,3.43,2.57,-4.07,1.20,2.21,-0.57,0.73,0.87,0.63,1.96,0.51,0.49,1.56,1.32,2.07,1.78,2.49,1.34,2.61,1.93,2.02,1.33,1.84,3.85,1.02,1.32,Upgrade
