Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.52,0.34,-0.16,-0.22,-0.09,-0.04,-0.05
Other Operating Activities,-0.62,-0.4,0.11,-0.42,0.07,-,-
Operating Cash Flow,-0.11,-0.06,-0.05,-0.63,-0.02,-0.04,-0.05
Share Issuance / Repurchase,0,0,0,0,105.98,0,0.03
Debt Issued / Paid,0.01,0.05,0.04,0.07,-0.27,0.26,0.03
Other Financing Activities,-,-,-,-,0.22,-0.22,-
Financing Cash Flow,0.01,0.05,0.04,0.07,105.92,0.04,0.05
Net Cash Flow,-0.1,-0.01,-0.01,-0.57,1.37,0,0
Free Cash Flow,-0.11,-0.06,-0.05,-0.63,-0.02,-0.04,-0.05
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.05,-0.01,-0.02,-0.02
