Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-3.02,0.89,4.68,2,-1.34,4.69,-4.31
Other Operating Activities,2.45,-1.42,-4.86,-2.28,1.17,-4.81,3.08
Operating Cash Flow,-0.58,-0.53,-0.18,-0.28,-0.17,-0.12,-1.23
Other Investing Activities,0.57,-,-,-,-,-,-
Investing Cash Flow,0.57,0,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,-0,0,0
Other Financing Activities,-0.09,-,-,-,-,-,-
Financing Cash Flow,-0.09,0,0,0,-0,0,0
Net Cash Flow,-0.09,-0.53,-0.18,-0.28,-0.17,-0.12,2.01
Free Cash Flow,-0.58,-0.53,-0.18,-0.28,-0.17,-0.12,-1.23
Free Cash Flow Per Share,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,-0.12
