Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,0.33,-0.23,0.7,0.59,0.7,0.71,0.6,0.57,0.76,-0.49,0.33,0.2,0.26
Depreciation & Amortization,0.19,0.24,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1
Share-Based Compensation,0,1.07,0,0,0,0.27,0,0,0,0,0,0,0
Other Operating Activities,3.89,-1.03,0.13,1.62,0.22,0.61,0.25,-1.08,0.8,3.36,-3.25,-2.26,0.78
Operating Cash Flow,4.41,0.05,0.99,2.35,1.04,1.72,0.96,-0.4,1.66,2.98,-2.81,-1.95,1.14
Operating Cash Flow Growth,325.41%,-97.23%,2.15%,-,-37.72%,-42.39%,-,-,46.38%,-,-,-,-
Capital Expenditures,-0.92,-0.08,-0.08,-0.03,-0.07,-0.02,-0.03,-0.03,-0.07,-0.11,-0.11,-0.11,-0.12
Change in Investments,1.52,-21.44,-10.18,-30.79,-6.96,-3.06,-21.62,-15.93,7.58,11.81,3.43,-21.34,-2.31
Investing Cash Flow,0.6,-21.52,-10.26,-30.82,-7.03,-3.08,-21.65,-15.96,7.51,11.7,3.32,-21.44,-2.44
Dividends Paid,0,-0.25,-0.24,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,-0.43,-0.73,0,0,0,8.07,37,0,0,0,0,0
Debt Issued / Paid,-11,11,0,0,0,0,-8.58,-0.47,-0.47,-0.47,-2.47,9.67,-0.04
Other Financing Activities,7.07,12.97,-24.47,33.5,17.52,-4.99,-19.89,5.16,13.41,11.61,2.08,15.52,-8.72
Financing Cash Flow,-3.93,23.28,-25.45,33.5,17.52,-4.99,-20.4,41.69,12.94,11.14,-0.39,25.19,-8.76
Net Cash Flow,1.09,1.81,-34.72,5.04,11.53,-6.35,-41.08,25.32,22.12,25.82,0.12,1.8,-10.06
Free Cash Flow,3.49,-0.03,0.91,2.32,0.97,1.7,0.94,-0.43,1.6,2.87,-2.92,-2.06,1.01
Free Cash Flow Growth,261.58%,-,-3.26%,-,-39.45%,-40.90%,-,-,57.25%,-,-,-,-
Free Cash Flow Margin,88.38%,-0.74%,21.77%,59.57%,25.77%,41.45%,24.61%,-11.93%,42.18%,81.02%,-91.38%,-76.80%,39.72%
Free Cash Flow Per Share,0.70,-0.01,0.19,0.47,0.20,0.39,0.24,-0.09,0.34,0.61,-,-,-
