Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-0.25,0.35,0.16,-0.2,-0.29,-0.29,-0.05,-0.01,0,-
Other Operating Activities,-0.21,-0.54,-0.27,0.02,0.06,-0.65,0.01,0.01,-,-
Operating Cash Flow,-0.46,-0.18,-0.11,-0.18,-0.23,-0.94,-0.04,0,0,0
Change in Investments,-0.22,103.98,0,0,0,-127.77,0,0,0,0
Investing Cash Flow,-0.22,103.98,0,0,0,-127.77,0,0,0,0
Share Issuance / Repurchase,-0.08,-103.54,0,0,0,129.82,0,0,0,0
Debt Issued / Paid,0,0.35,0,0,0,-0.18,0.1,0,0.08,0
Other Financing Activities,-,-,-,-,-,-0.35,-0.08,-,-,-
Financing Cash Flow,-0.08,-103.19,0,0,0,129.29,0.02,0,0.08,0
Net Cash Flow,-0.76,0.61,-0.05,-0.18,-0.23,0.59,-0.02,0,0.08,0
Free Cash Flow,-0.46,-0.18,-0.11,-0.18,-0.23,-0.94,-0.04,0,0,0
Free Cash Flow Per Share,-0.08,-0.06,-0.01,-0.01,-0.01,-0.33,-0.01,-,-,-
