Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-09-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31
Net Income,-,-,-,-,-,-,89.56,307.46,-,584.7,-359.14,-
Depreciation & Amortization,-,-,-,-,-,-,0.01,-,-,0.07,-,-
Other Operating Activities,-,-,-,-,-,-,78.29,-307.46,-,-891.88,359.14,-
Operating Cash Flow,-,-,-,-,-,-,167.87,-,-,-307.11,-,-
Acquisitions,-,-,-,-,-,-,-954.55,-,-,0,-,-
Investing Cash Flow,-,-,-,-,-,-,-954.55,-,-,0,-,-
Share Issuance / Repurchase,-,-,-,-,-,-,782.39,-,-,0,-,-
Debt Issued / Paid,-,-,-,-,-,-,112.76,-,-,322,-,-
Other Financing Activities,-,-,-,-,-,-,-11.54,-,-,-2.5,-,-
Financing Cash Flow,-,-,-,-,-,-,883.61,-,-,319.5,-,-
Net Cash Flow,-,-,-,-,-,-,97.3,-,-,4.88,-,-
Free Cash Flow,-,-,-,-,-,-,167.87,-,-,-307.11,-,-
Free Cash Flow Margin,-,-,-,-,-,-,20.89%,-,-,-50.36%,-,-
Free Cash Flow Per Share,-,-,-,-,-,-,1.46,-,-,-2.66,-,-
