Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.96,0.4,-0.28,-0.47,-0.47,-0.11,-0.12
Other Operating Activities,-1.11,-0.46,0.17,0.07,-0.58,-0.11,0.12
Operating Cash Flow,-0.14,-0.05,-0.11,-0.4,-1.05,-0.23,0
Share Issuance / Repurchase,0,0,0,0,225.4,0,0
Debt Issued / Paid,0,0,0,0,-0.23,0,0
Other Financing Activities,-,-,-,-,11.37,-,-
Financing Cash Flow,0,0,0,0,236.55,0,0
Net Cash Flow,0.02,-0.05,-0.11,-0.4,0.9,0,0
Free Cash Flow,-0.14,-0.05,-0.11,-0.4,-1.05,-0.23,0
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.10,-0.04,-
