Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.05,0.47,0.21,-0.03,-0.15,-0,-0
Other Operating Activities,-0.44,-0.51,-0.23,-0.09,-0.2,0,0
Operating Cash Flow,-0.39,-0.03,-0.02,-0.12,-0.35,0,0
Change in Investments,-0.18,0,0,0,-69.69,0,0
Investing Cash Flow,-0.18,0,0,0,-69.69,0,0
Share Issuance / Repurchase,0,0,0,0,69,0,0
Debt Issued / Paid,0.52,0,0.56,-0.5,0.28,0,0
Other Financing Activities,-,-,-0.56,-,1.49,-,-
Financing Cash Flow,0.52,0,0,-0.5,70.77,0,0
Net Cash Flow,-0.05,-0.03,-0.02,-0.62,0.73,0,0
Free Cash Flow,-0.39,-0.03,-0.02,-0.12,-0.35,0,0
Free Cash Flow Per Share,-0.06,-0.00,-0.00,-0.01,-0.07,-,-
