Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-06-30
Net Income,0.33,-9.21,-14.74,0.77,-6.82,14.98,2.05,5.93,2.45,-,-0.57
Depreciation & Amortization,0.74,2.9,0.44,0.47,0.47,0.59,0.65,0.64,0.6,-,-
Share-Based Compensation,0.67,0.74,0.74,0.73,0.73,1.23,0.53,0.53,0.51,-,-
Other Operating Activities,4.41,1.15,1.3,12.56,17.58,-26.28,-3.57,-1.34,19.05,-,0.57
Operating Cash Flow,6.15,-4.43,-12.26,14.53,11.96,-9.48,-0.33,5.75,22.61,-,-
Operating Cash Flow Growth,-48.60%,-,-,152.64%,-47.11%,-,-,-,-,-,-
Capital Expenditures,-0.24,-0.06,-0.15,-0.15,-0.13,32.56,-0.7,2.91,-1.32,-,-
Change in Investments,-91.05,-135.9,-354.33,-241.68,-44.66,-13.51,-10.3,-136.03,-84.74,-,-
Investing Cash Flow,-91.28,-135.96,-354.49,-241.83,-44.79,19.05,-11,-133.12,-86.07,-,-
Share Issuance / Repurchase,0,0,0,0,0,122,0,4.31,-1.17,-,-
Debt Issued / Paid,131,231,-48,240.25,-27.22,3.83,-4.82,1.42,-26.3,-,-
Other Financing Activities,84.47,-98.78,202.46,192.56,-24.55,-44.55,13.1,97.62,108.97,-,-
Financing Cash Flow,215.47,132.23,154.46,432.81,-51.77,81.28,8.28,103.34,81.5,-,-
Net Cash Flow,130.33,-8.16,-212.29,205.51,-84.6,90.86,-3.05,-24.03,18.04,-,-
Free Cash Flow,5.91,-4.49,-12.41,14.38,11.83,23.08,-1.03,8.66,21.29,-,-
Free Cash Flow Growth,-50.03%,-,-,66.05%,-44.44%,-,-,-,-,-,-
Free Cash Flow Margin,34.29%,-113.33%,-125.93%,85.36%,64.61%,65.80%,-5.70%,40.31%,132.24%,-,-
Free Cash Flow Per Share,0.25,-0.19,-0.54,0.62,0.55,1.37,-0.06,0.52,1.29,-,-
