Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-07,2020-06-30,2020-03-31
Net Income,-69.8,-63.1,-129.2,-73.5,-67.6,-60.7,-30.9,-84.5,-195.2,-54.1,-38.6,-24.8,-23.9
Depreciation & Amortization,4.3,4,3.8,3.5,3.9,3.3,2.7,2.5,2.5,1.9,1.8,1.6,1.4
Share-Based Compensation,16.1,15.6,17,15.9,13.4,14.5,4.5,2.8,2.5,2.2,13.2,0.9,0.9
Other Operating Activities,13.7,13.4,65.4,24.3,-8.3,37.6,-26.3,25.5,174.7,20.9,10.2,14.3,6.7
Operating Cash Flow,-35.7,-30.1,-43,-29.8,-58.6,-5.3,-50,-53.7,-15.5,-29.1,-13.4,-8,-14.9
Capital Expenditures,-3.9,-3.5,-5.5,-4.5,-6.2,-4.7,-3.9,-2.8,-2.7,-2.5,-2.4,-1.9,-2.6
Acquisitions,0,0,0,0,0,0,0,0,0,-11.9,-71.8,0,0
Change in Investments,18.7,-111.7,118,-20.5,-370,7.5,-15.8,1.6,-3,-12.7,34.2,30.7,38.6
Other Investing Activities,-1,-,-,-,-2,-2,-0.9,-,-3.3,-,-,-,-
Investing Cash Flow,13.8,-115.2,112.5,-25,-378.2,0.8,-20.6,-1.2,-9,-27.1,-40,28.8,36
Share Issuance / Repurchase,0,0.7,0.1,2.1,1.2,6.5,450.8,-3.4,1.9,1.4,0.5,0.3,0.2
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,365,0,0,0
Other Financing Activities,-1.9,-3.8,-1.2,-4.4,-1.5,-6.1,32.4,0.4,-1.7,-0.7,148.9,-0.8,3.3
Financing Cash Flow,-1.9,-3.1,-1.1,-2.3,-0.3,0.4,483.2,-3,0.2,365.7,149.4,-0.5,3.5
Net Cash Flow,-23.8,-148.4,68.4,-57.1,-437.1,-4.1,412.6,-57.9,-24.3,309.5,96,20.3,24.6
Free Cash Flow,-39.6,-33.6,-48.5,-34.3,-64.8,-10,-53.9,-56.5,-18.2,-31.6,-15.8,-9.9,-17.5
Free Cash Flow Margin,-99.50%,-93.85%,-157.98%,-119.51%,-264.49%,-31.15%,-253.05%,-270.33%,-107.06%,-192.68%,-121.54%,-83.19%,-171.57%
Free Cash Flow Per Share,-1.71,-1.46,-2.12,-1.51,-2.88,-0.92,-3.48,-14.37,-4.74,-8.78,-4.52,-20.02,-36.12
