Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.02,0.46,-0.16,-1.81,-0.8,-0.1,-0.05
Other Operating Activities,-1.42,-0.72,-0.01,0.86,0.8,0.1,0.05
Operating Cash Flow,-0.4,-0.25,-0.17,-0.94,-,-,-0
Change in Investments,0.29,0,0,0,-,-,0
Investing Cash Flow,0.29,0,0,0,-,-,0
Debt Issued / Paid,0,0,0,0,-,-,0.03
Other Financing Activities,-,-,-,-,-,-,-0.04
Financing Cash Flow,0,0,0,0,-,-,-0.01
Net Cash Flow,-0.11,-0.14,-0.17,-0.94,-,-,-0.01
Free Cash Flow,-0.4,-0.25,-0.17,-0.94,-,-,-0
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.04,-,-,-
