Metrics,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28
Net Income,0.48,0.65,0.34,0.04,-0.2
Other Operating Activities,-0.77,-0.82,-0.36,-0.09,0.03
Operating Cash Flow,-0.28,-0.17,-0.02,-0.05,-0.16
Change in Investments,86.03,0,0,0,-116.73
Investing Cash Flow,86.03,0,0,0,-116.73
Share Issuance / Repurchase,-86.35,0,0,0,117.8
Debt Issued / Paid,0.33,0,0,0,-0.18
Other Financing Activities,-,-,-,-0,0
Financing Cash Flow,-86.03,0,0,0,117.62
Net Cash Flow,-0.28,-0.17,-0.02,-0.05,0.73
Free Cash Flow,-0.28,-0.17,-0.02,-0.05,-0.16
Free Cash Flow Per Share,-0.10,-0.06,-0.01,-0.00,-0.06
