Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Net Income,12.39,13.12,11.1,10.18,6.23,7.29,6.68,7.01,6.02,4.66,4.09,3.67,2.72,3.61,3.51,3.27,2.81,3.06,2.6,2.2,1.84,0.34,1.9,1.88
Depreciation & Amortization,0.47,0.47,0.49,0.43,0.42,0.42,0.37,0.39,0.42,0.39,0.35,0.31,0.31,0.33,0.3,0.3,0.3,0.29,0.27,0.27,0.25,0.27,0.26,-
Share-Based Compensation,1.05,0.73,0.68,0.57,0.54,0.38,0.27,0.27,0.36,0.22,0.14,0.14,0.13,0.11,0.11,0.11,0.11,0.08,0.08,0.08,0.07,0.07,0.08,-
Other Operating Activities,32.72,10.76,8.93,1.66,0.79,-1.53,5.14,-5.29,1.64,1.16,0.32,-1.14,1.86,0.29,0.74,-1.14,-1.09,2.13,1.24,-0.58,0.54,1.34,0.22,-1.88
Operating Cash Flow,46.63,25.07,21.21,12.83,7.98,6.56,12.46,2.38,8.44,6.43,4.9,2.98,5.02,4.34,4.67,2.55,2.13,5.55,4.18,1.97,2.7,2.03,2.46,-
Operating Cash Flow Growth,484.20%,281.99%,70.19%,439.53%,-5.44%,2.05%,154.52%,-20.25%,68.18%,48.37%,4.95%,17.17%,136.19%,-21.82%,11.60%,29.06%,-21.41%,173.02%,70.24%,-,-,-,-,-
Capital Expenditures,-0.28,-0.22,-0.29,-1.03,-1.3,-0.41,-0.39,-1.29,-0.5,-0.62,-0.56,-2.79,-1.4,-0.3,-0.54,-0.22,-0.15,-0.64,-0.15,-0.23,-0.13,-0.53,-0.36,-
Acquisitions,0,0,0,0,0,0,0,-19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,-272.84,-520.1,-163.99,-124.61,-325.63,458.54,-443.11,37.92,-265.42,-13.52,-82.75,-479.34,-85.56,-42.72,-66.3,96,-150.31,-32.96,-58.98,-18.78,-27.25,-29.05,-34.94,-
Other Investing Activities,-,-,-,-0.05,-,-0.13,-4.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-273.12,-520.32,-164.28,-125.69,-326.93,458.01,-448.37,16.65,-265.93,-14.14,-83.31,-482.13,-86.96,-43.02,-66.83,95.77,-150.46,-33.6,-59.13,-19.01,-27.38,-29.58,-35.3,-
Share Issuance / Repurchase,0.57,1.16,0.03,0.07,0.21,32.47,0.03,0.1,0.15,0.12,0.03,0,0.05,0.01,0.03,0.04,0.04,33.26,0.07,0.27,0,-0,0.02,-
Debt Issued / Paid,0,19.63,0,0,-25,0,14.26,-158.52,4.8,-48.88,12.44,190.16,15,-10,0,20,-20,-33.24,33.24,0,0,5,-2,-
Other Financing Activities,277.7,-19.55,139.76,120.84,212.68,140.25,421.86,154.03,250.41,61.3,53.58,301.37,37.1,45.71,54.11,-108.35,172.88,28.89,30.25,17.2,23.97,22.1,40.3,-
Financing Cash Flow,278.27,1.24,139.8,120.9,187.89,172.71,436.16,-4.39,255.36,12.54,66.05,491.52,52.16,35.72,54.13,-88.31,152.92,28.91,63.56,17.47,23.97,27.1,38.32,-
Net Cash Flow,51.78,-494.01,-3.27,8.05,-131.05,637.29,0.25,14.63,-2.12,4.83,-12.36,12.37,-29.79,-2.97,-8.04,10.01,4.59,0.85,8.62,0.44,-0.71,-0.46,5.47,-
Free Cash Flow,46.35,24.86,20.92,11.8,6.68,6.16,12.07,1.08,7.94,5.81,4.34,0.19,3.62,4.03,4.13,2.32,1.97,4.91,4.03,1.74,2.57,1.5,2.1,-
Free Cash Flow Growth,593.61%,303.59%,73.31%,988.47%,-15.83%,5.93%,178.22%,473.54%,119.31%,44.12%,5.04%,-91.86%,83.66%,-17.77%,2.40%,33.30%,-23.34%,227.07%,92.46%,-,-,-,-,-
Free Cash Flow Margin,77.12%,39.68%,32.11%,23.01%,17.44%,20.54%,48.91%,4.71%,39.81%,35.49%,29.24%,1.39%,29.06%,32.11%,33.92%,19.73%,17.58%,44.34%,40.81%,19.09%,30.67%,17.98%,24.18%,-
Free Cash Flow Per Share,3.51,1.91,1.62,0.91,0.52,0.51,1.01,0.09,0.66,0.49,0.36,0.02,0.30,0.34,0.35,0.20,0.17,0.41,0.36,0.19,0.28,0.16,0.23,-
