Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,1.76,2.49,5.96,3.54,12.04,18.06,-19.22,-7.73,-0
Other Operating Activities,-2.89,-2.61,-6.1,-3.82,-12.17,-18.15,19.18,7.18,0
Operating Cash Flow,-1.13,-0.12,-0.14,-0.28,-0.13,-0.09,-0.04,-0.55,-0
Change in Investments,1.12,0.2,0,0,0,0,0,-400,0
Investing Cash Flow,1.12,0.2,0,0,0,0,0,-400,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,392,0
Debt Issued / Paid,0,0,0,0,0,0,0,-0.15,0.15
Other Financing Activities,-,-,-,-,-0.01,-0.01,-0.4,9.69,-0.03
Financing Cash Flow,0,0,0,0,-0.01,-0.01,-0.4,401.54,0.13
Net Cash Flow,-0.01,0.08,-0.14,-0.28,-0.14,-0.1,-0.43,0.99,0.12
Free Cash Flow,-1.13,-0.12,-0.14,-0.28,-0.13,-0.09,-0.04,-0.55,-0
Free Cash Flow Per Share,-0.02,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.01,-
