Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-0.45,-0.34,0.66,2.39,2.84,2.9,1.86,0.38,-0.37,-0.71
Other Operating Activities,-0.25,-0.92,-1.01,-3.08,-3.26,-3.58,-2.23,-0.87,0.17,0.03
Operating Cash Flow,-0.7,-1.27,-0.35,-0.7,-0.43,-0.68,-0.37,-0.49,-0.21,-0.68
Change in Investments,-0.23,232.82,0.29,0.08,0.01,0.06,0,0,0,-250
Investing Cash Flow,-0.23,232.82,0.29,0.08,0.01,0.06,0,0,0,-250
Share Issuance / Repurchase,0,-232.37,0,0,0,0,0,0,0,245.03
Debt Issued / Paid,0.69,0.68,0.2,0.64,0.27,0.54,0,0,0,-0.18
Other Financing Activities,0.22,0.08,-,-,-,-,-,-,-,7.17
Financing Cash Flow,0.92,-231.61,0.2,0.64,0.27,0.54,0,0,0,252.01
Net Cash Flow,-0.02,-0.05,0.14,0.02,-0.15,-0.08,-0.37,-0.49,-0.21,1.33
Free Cash Flow,-0.7,-1.27,-0.35,-0.7,-0.43,-0.68,-0.37,-0.49,-0.21,-0.68
Free Cash Flow Per Share,-0.09,-0.05,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01,-0.08
