Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,9.6,10.19,10.19,9.15,7.39,8.51,8.14,8.24,8.07,7.26,7.29,6.85,6.75,6.74,6.85,5.54,5.7,6.15,6.14,5.53,5.23
Depreciation & Amortization,0.72,0.69,0.64,0.62,0.67,0.67,0.64,0.64,0.61,0.65,0.61,0.57,0.59,0.61,0.75,0.46,0.54,0.51,0.49,0.51,0.53
Share-Based Compensation,0.08,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.11,0.07,0.07,0.11,0.08,0.09,0.08,0.08,0.07,0.05,0.05,0.05,0.14
Other Operating Activities,2.93,-0.45,6.23,-0.48,0.69,2.94,5.89,2.34,15.27,-3.83,-9.77,-5.94,1.44,-1.98,3.97,-6.54,3.5,0.79,1.93,-3.72,1.62
Operating Cash Flow,13.33,10.52,17.15,9.37,8.83,12.19,14.73,11.28,24.06,4.16,-1.81,1.6,8.85,5.46,11.65,-0.47,9.8,7.51,8.62,2.36,7.52
Operating Cash Flow Growth,51.01%,-13.70%,16.40%,-16.97%,-63.30%,193.48%,-,606.07%,171.69%,-23.86%,-,-,-9.69%,-27.36%,35.15%,-,30.32%,-,-,-,-
Capital Expenditures,-1.23,-2.12,-1.18,-2.07,-3.08,-1.03,-0.5,-0.93,-0.49,-2.92,-3.5,-0.21,-0.41,-2.37,-0.23,-0.41,-0.77,-3.26,-0.96,-0.96,-0.25
Acquisitions,-0.79,-0.08,0,-0.82,0,-0.05,-0.08,-0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,7.98,-32.95,-17.74,-119.17,-260.16,-157.65,-84.73,6.51,-41.25,29.1,-89.24,-181.61,-67.8,-20.65,-44.39,-39.56,-27.62,2.21,4.86,-40.12,-11.42
Other Investing Activities,-,-,0.64,-,-,0.47,-,-5,0.1,-,0.03,0,0.3,0.26,0.57,-,0.33,0.97,1.22,0.06,0.01
Investing Cash Flow,5.97,-35.14,-18.27,-122.05,-263.23,-158.26,-85.31,0.53,-41.64,26.18,-92.71,-181.81,-67.91,-22.76,-44.05,-39.97,-28.05,-0.08,5.11,-41.02,-11.66
Dividends Paid,-0.57,-0.5,-0.5,-0.5,-0.5,-0.5,-0.51,-0.51,-0.51,-0.44,-0.44,-0.44,-0.44,0,0,0,-1.33,0,0,0,-1.01
Share Issuance / Repurchase,-0.35,0,0,0,-0.22,-4.9,-0.8,-1.16,-1.02,0,-0.12,0,0.01,0,0,26.81,0.08,-4.58,0.02,0.03,0
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.16,-6.19,0,-0.05,-0.05,-0.05,-0.05
Other Financing Activities,-67.55,2.44,-53.7,-77.53,17.38,205.77,134.98,54.32,174.92,146.42,124.62,341.54,6.66,44.27,42.26,-56.54,45.55,39.85,45.4,0.01,34.35
Financing Cash Flow,-68.47,1.94,-54.2,-78.04,16.66,200.37,133.67,52.66,173.39,145.98,124.06,341.1,6.23,44.27,37.11,-35.92,44.31,35.22,45.37,-0.01,33.29
Net Cash Flow,-49.17,-22.68,-55.33,-190.72,-237.75,54.3,63.09,64.47,155.8,176.31,29.54,160.89,-52.83,26.97,4.71,-76.35,26.06,42.65,59.1,-38.67,29.16
Free Cash Flow,12.1,8.4,15.97,7.3,5.75,11.17,14.24,10.35,23.57,1.23,-5.31,1.39,8.44,3.09,11.42,-0.87,9.04,4.25,7.66,1.4,7.27
Free Cash Flow Growth,110.45%,-24.77%,12.18%,-29.47%,-75.60%,805.68%,-,643.07%,179.07%,-60.06%,-,-,-6.56%,-27.36%,49.13%,-,24.25%,-,-,-,-
Free Cash Flow Margin,44.41%,30.50%,58.38%,28.34%,25.02%,45.96%,60.32%,44.05%,102.83%,5.56%,-23.99%,6.55%,41.56%,15.32%,56.52%,-4.54%,49.59%,22.72%,40.92%,7.92%,43.67%
Free Cash Flow Per Share,1.69,1.17,2.22,1.02,0.80,1.53,1.96,1.42,3.22,0.17,-0.72,0.19,1.15,0.42,1.56,-0.12,1.25,0.59,-,-,-
