Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.78,0.4,-0.03,-0.26,-0.38,-0.02,-0.26
Other Operating Activities,0.09,0.11,0,0.03,-0.48,0.01,0.11
Operating Cash Flow,0.87,0.51,-0.03,-0.23,-0.86,-0.02,-0.15
Share Issuance / Repurchase,0,0,0,0,133.8,0,0.03
Debt Issued / Paid,0,0,0,0,-0.3,0,0.3
Other Financing Activities,-,-,-,-,-2.67,-0.12,-
Financing Cash Flow,0,0,0,0,130.83,-0.12,0.33
Net Cash Flow,0.87,0.51,-0.03,-0.23,129.97,-0.13,0.17
Free Cash Flow,0.87,0.51,-0.03,-0.23,-0.86,-0.02,-0.15
Free Cash Flow Per Share,0.06,0.03,-0.00,-0.01,-0.15,-0.01,-0.07
