Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Net Income,10.68,12.84,10.53,11.65,10.18,11.16,11.22,11.55,11.51,11.53,10.95,8.3,7.27,7.46,6.66,5.99,6.59,6.06,5.93,6.4,7.06,3.28,3.83,17.88
Depreciation & Amortization,1.92,1.43,1.16,0.69,0.69,0.75,0.74,0.84,0.86,0.94,0.78,0.7,0.76,0.8,0.67,0.44,0.44,0.46,0.46,0.46,0.5,0.53,-,0.47
Share-Based Compensation,0.46,0.45,0.45,0.45,0.32,0.36,0.36,0.37,0.3,0.29,0.28,0.3,0.22,0.17,0.18,0.18,0.15,0.15,0.14,0.15,0.12,0.13,-,0.42
Other Operating Activities,-8.94,5.3,-2.22,-5.21,-8.71,3.35,0.7,-7.25,-6.54,8.88,-8.68,11.81,-10.35,5.07,-0.57,-3,-8.57,6.22,-0.94,-2.53,-7.58,8.43,-3.83,-8.33
Operating Cash Flow,4.11,20.01,9.92,7.59,2.49,15.62,13.03,5.51,6.13,21.64,3.33,21.1,-2.11,13.51,6.93,3.6,-1.39,12.89,5.59,4.48,0.1,12.36,-,10.44
Operating Cash Flow Growth,65.42%,28.12%,-23.82%,37.80%,-59.45%,-27.83%,290.79%,-73.91%,-,60.22%,-51.90%,485.52%,-,4.83%,23.95%,-19.52%,-,4.29%,-,-57.11%,-,-,-,-
Capital Expenditures,-2.7,-1.55,-3.38,-0.94,-1.01,-5.82,-1.07,-0.41,-0.87,-2.59,-1.9,-1.84,-1.76,-3.42,-1.38,-1.47,-1,-1.8,-0.22,-0.01,-5.45,-1.21,-,-1.19
Acquisitions,91.05,1.14,155.44,1.23,0.91,1.14,1.18,1.15,1.02,0.9,1.12,36.28,0.81,-12.59,-9.15,1.1,0.6,0.52,1.42,0.47,0.54,-6.27,-,1.75
Change in Investments,117.22,-38.17,-1.72,-103.82,-186.28,-90.72,22.33,18.41,-42.37,13.1,-74.59,-161.89,-19.15,-67.27,-27.73,18.37,-3.93,15.53,-4.5,-30.35,-10.12,23.63,-,-140.29
Other Investing Activities,-,-,-,-0,0.32,0.27,0.02,0.78,1.1,1.39,0.66,1.96,1.47,0.61,0.02,0.67,0.4,2.07,0.04,0.94,0.83,0.29,-,0.44
Investing Cash Flow,205.57,-38.58,150.35,-103.53,-186.05,-95.14,22.45,19.93,-41.12,12.79,-74.7,-125.48,-18.64,-82.66,-38.24,18.68,-3.93,16.32,-3.26,-28.95,-14.21,16.43,-,-139.3
Dividends Paid,-2.62,-2.26,-2.26,-1.64,-1.67,-1.68,-3.82,-1.62,-1.62,-1.62,-1.55,-1.54,-1.43,-1.42,-1.42,-1.32,-1.31,-1.33,-1.06,-1.07,-1.07,-1.09,-,-3.67
Share Issuance / Repurchase,-6.69,0.03,-2.08,-7.16,-4.98,-1.69,-3.25,-2.84,-0.38,-1.26,-0.12,0,-2.97,0,-1.56,-0.16,-2.49,-2.38,-0.25,-1.78,-4.7,0.29,-,-2.14
Debt Issued / Paid,-20.59,74.6,11.84,-3.01,-28.24,22.57,-4.28,-29.7,0.77,7.83,-31.55,-15.91,-11.08,33.66,32.17,-5.45,-6.01,-23.81,-2.14,7.55,-6.19,19.87,-,13.49
Other Financing Activities,-129.44,-77.9,-68.31,44.37,28.96,57.23,24.76,-1.38,127.17,50.09,8.11,244.91,3.93,4.96,-5.35,1.35,16.56,70.75,-8.88,27.31,-38.16,19.88,-,101.84
Financing Cash Flow,-159.34,-5.53,-60.81,32.57,-5.94,76.43,13.41,-35.54,125.94,55.03,-25.11,227.46,-11.55,37.2,23.84,-5.59,6.76,43.22,-12.32,32.02,-50.11,38.95,-,109.53
Net Cash Flow,50.34,-24.09,99.46,-63.37,-189.5,-3.09,48.88,-10.1,90.96,89.47,-96.48,123.08,-32.3,-31.95,-7.47,16.7,1.44,72.43,-9.99,7.55,-64.22,67.74,-,-19.33
Free Cash Flow,1.41,18.47,6.54,6.65,1.48,9.8,11.95,5.1,5.26,19.05,1.43,19.27,-3.87,10.09,5.55,2.14,-2.39,11.09,5.37,4.47,-5.35,11.15,-,9.25
Free Cash Flow Growth,-4.86%,88.46%,-45.26%,30.34%,-71.84%,-48.56%,734.71%,-73.54%,-,88.84%,-74.18%,800.75%,-,-9.01%,3.33%,-52.15%,-,-0.55%,-,-51.70%,-,-,-,-
Free Cash Flow Margin,4.16%,54.28%,19.91%,23.29%,5.63%,34.81%,43.76%,18.53%,19.11%,76.38%,5.37%,75.82%,-17.95%,48.34%,27.11%,12.15%,-13.21%,64.14%,31.13%,24.98%,-27.83%,67.28%,-,24.92%
Free Cash Flow Per Share,0.14,2.04,0.88,0.88,0.20,1.28,1.56,0.66,0.68,2.46,0.18,2.69,-0.55,1.42,0.78,0.33,-0.36,1.67,0.81,0.67,-0.80,1.67,-,1.39
