Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,12.54,-4.19,24.53,23.13,23.15,27.84,29.41,75.97,12.86,15.2,-71.13,-50.02,15.23,-157.04,14.72,17.48,1.06,-45.82,0.74,0.77,0.21
Depreciation & Amortization,0.4,0.81,0.21,0.45,0.36,0.94,-0.08,0.28,0.52,0.66,0.44,0.55,0.12,0.03,0.03,0.05,0,0.08,0,0,0
Share-Based Compensation,1.84,1.89,1.3,0.99,1.28,1.09,1.1,0.93,0.7,0.15,0,2.19,0.49,0.49,0.49,1.01,0,2.53,0,0,0
Other Operating Activities,14.73,23.93,5.37,-2.91,7.14,-3.14,5.01,-63.03,4.75,-7.75,75.06,52,-1.71,-5.33,-3.13,-1.07,-1.49,0.13,-1.04,-1.07,-0.31
Operating Cash Flow,29.51,22.43,31.41,21.66,31.93,26.73,35.44,14.15,18.84,8.27,4.37,4.93,7.08,12.62,12.1,17.47,-0.43,29.3,-0.3,-0.3,-0.1
Operating Cash Flow Growth,-7.59%,-16.08%,-11.37%,53.06%,69.54%,223.45%,711.17%,186.92%,166.22%,-34.53%,-63.88%,-71.78%,-,-56.92%,-,-,-,-,-,-,-
Capital Expenditures,-0.34,0.01,-0.27,-0.18,-0.19,-0.2,-0.94,-0.84,-0,-0.1,-0.67,-0.34,-0.08,-0.03,-0.01,-0.06,0,-0.11,0,0,0
Change in Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.2,274.51,0.27,0.22,-275
Investing Cash Flow,-0.34,0.01,-0.27,-0.18,-0.19,-0.2,-0.94,-0.84,-0,-0.1,-0.67,-0.34,-0.08,-0.03,-0.01,-0.26,0.2,274.4,0.27,0.22,-275
Share Issuance / Repurchase,-21.32,-18.02,0,0,0,0,0,-20,0,-125.54,88.04,0,0,0,0,0,0,-282.5,0,0,282.5
Debt Issued / Paid,-0.94,-0.94,2.93,-0.78,-0.78,-0.78,-0.78,-25.96,6.66,-1.37,-1.06,-1.72,157.58,-0.64,-0.62,-1.24,0,-2.28,0,0,-0.22
Other Financing Activities,-0.13,-0.13,-0.02,-0.02,-0.04,-,-,-36.95,-,105.13,-1.57,-14.52,-134.15,-12.04,-10.18,-20.18,-,-13.01,-,-,-5.87
Financing Cash Flow,-22.39,-19.08,2.91,-0.81,-0.82,-0.78,-0.78,-82.91,6.66,-21.78,85.41,-16.24,23.42,-12.68,-10.8,-21.42,0,-297.79,0,0,276.41
Net Cash Flow,6.78,3.36,34.05,20.67,30.93,25.75,33.72,-69.6,25.49,-13.62,89.1,-11.65,30.41,-0.09,1.28,-4.2,-0.23,5.92,-0.04,-0.08,1.31
Free Cash Flow,29.17,22.45,31.14,21.48,31.75,26.53,34.5,13.31,18.83,8.17,3.7,4.59,6.99,12.59,12.09,17.42,-0.43,29.2,-0.3,-0.3,-0.1
Free Cash Flow Growth,-8.10%,-15.39%,-9.74%,61.36%,68.57%,224.90%,833.33%,189.98%,169.34%,-35.14%,-69.42%,-73.65%,-,-56.88%,-,-,-,-,-,-,-
Free Cash Flow Margin,76.05%,83.69%,61.46%,41.27%,63.41%,51.39%,58.58%,21.78%,42.79%,20.60%,12.42%,20.80%,40.11%,48.29%,54.68%,69.16%,-,55.94%,-,-,-
Free Cash Flow Per Share,0.24,0.18,0.25,0.17,0.25,0.21,0.27,0.10,0.15,0.10,0.03,0.09,0.19,0.34,0.32,0.46,-0.01,0.78,-0.01,-0.01,-0.00
