Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.7,0.75,-0.15,-0.32,-0.21,-0.01,-0
Other Operating Activities,-2.59,-1.07,-0.25,0.06,0.21,-0.01,0
Operating Cash Flow,-0.89,-0.31,-0.4,-0.25,-,-0.01,-0
Change in Investments,0.65,0.13,0.19,0,-,0,0
Investing Cash Flow,0.65,0.13,0.19,0,-,0,0
Debt Issued / Paid,0,0.18,0.45,0,-,0.43,0
Other Financing Activities,-,-,-,-,-,-0.4,-0.01
Financing Cash Flow,0,0.18,0.45,0,-,0.02,-0.01
Net Cash Flow,-0.24,-0,0.24,-0.25,-,0.01,-0.01
Free Cash Flow,-0.89,-0.31,-0.4,-0.25,-,-0.01,-0
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.01,-,-,-
