Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,2.24,0.87,4.49,5.92,0.07,4.95,-1.81,1.63,-0
Other Operating Activities,-2.84,-1.16,-4.84,-6.29,-0.93,-5.15,1.51,-2.71,0
Operating Cash Flow,-0.6,-0.29,-0.35,-0.37,-0.87,-0.19,-0.3,-1.08,-0
Change in Investments,0.39,0.22,0.1,0.03,0,0,0,-287.5,0
Investing Cash Flow,0.39,0.22,0.1,0.03,0,0,0,-287.5,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,281.75,0.03
Debt Issued / Paid,0,0,0.55,0.2,0.75,0,0,0,0
Other Financing Activities,-,-,-,-,-,-,-,7.68,-0.01
Financing Cash Flow,0,0,0.55,0.2,0.75,0,0,289.43,0.02
Net Cash Flow,-0.21,-0.07,0.3,-0.14,-0.12,-0.19,-0.3,0.85,0.02
Free Cash Flow,-0.6,-0.29,-0.35,-0.37,-0.87,-0.19,-0.3,-1.08,-0
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.07,-
