Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,1.41,2.02,3.29,1.43,3.6,1.27,0.51,-3.04,-0.34
Other Operating Activities,-0.21,-2.14,-3.34,-1.77,-3.68,-1.34,-0.68,2.94,-0.76
Operating Cash Flow,1.2,-0.11,-0.05,-0.33,-0.08,-0.06,-0.16,-0.1,-1.1
Change in Investments,158.73,0,0,0,0,0,0,0,-155.25
Investing Cash Flow,158.73,0,0,0,0,0,0,0,-155.25
Share Issuance / Repurchase,-117.53,0,0,0,0,0,0,0,158.25
Debt Issued / Paid,0,0,0,0,0,0,0,0,-0.04
Other Financing Activities,-,-,-,-,-,-,-,-,-0.38
Financing Cash Flow,-117.53,0,0,0,0,0,0,0,157.83
Net Cash Flow,42.39,-0.11,-0.05,-0.33,-0.08,-0.06,-0.16,-0.1,1.47
Free Cash Flow,1.2,-0.11,-0.05,-0.33,-0.08,-0.06,-0.16,-0.1,-1.1
Free Cash Flow Per Share,0.07,-0.01,-0.00,-0.02,-0.00,-0.00,-0.01,-0.01,-0.13
