Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Net Income,-129.25,-55.26,-56.22,-29.87,32.69,58.94,29.11,37.28,10.1,1.03,9.67,-6.19,1.48,6.05
Depreciation & Amortization,6.44,3.65,3.72,3.35,2.78,2.56,2.19,1.98,0.82,0.65,0.58,0.54,0.52,0.45
Share-Based Compensation,74.11,33.89,36.66,30.33,25.05,22.83,20.32,21.19,8.62,4.41,3.05,2.88,1.97,1.6
Other Operating Activities,-27.02,-235.16,-85.52,-57.46,-327.32,-95.47,-8.01,32.35,23.55,62.43,4.43,18.76,-90.48,2.45
Operating Cash Flow,-75.73,-252.88,-101.37,-53.64,-266.8,-11.14,43.6,92.8,43.09,68.51,17.72,15.98,-86.52,10.56
Operating Cash Flow Growth,-,-,-,-,-,-,146.03%,480.64%,-,549.11%,-,-,-,-
Capital Expenditures,-5.46,-4.98,-5.52,-7.12,-5.29,-5.68,-5.29,-3.54,-0.6,-1.36,-1.68,-1.2,-1.37,-4.01
Acquisitions,0,0,0,0,0,-0.2,0,-16.56,0,0,0,0,0,0
Change in Investments,-20.39,-80.13,-18.73,-2.82,10.46,-13.9,-79.12,-20.5,1.5,10.16,5.8,16.06,110.11,-4.08
Investing Cash Flow,-25.85,-85.11,-24.25,-9.94,5.18,-19.78,-84.4,-40.6,0.9,8.81,4.11,14.86,108.74,-8.09
Share Issuance / Repurchase,7.27,-26.19,-20.48,-121.26,10.06,4.96,10.99,265.37,1.49,161.34,0.31,0.02,0.19,0.17
Debt Issued / Paid,13.71,66.72,61.61,86.57,73.01,45.44,642.57,-35.87,-20.75,-37.98,-7.22,-7.07,-29.91,-21.03
Other Financing Activities,-0.01,-0.01,-0.01,-,-,-,-58.52,-0.24,-,0.01,-,-0.24,-0.38,-1.6
Financing Cash Flow,20.97,40.53,41.12,-34.69,83.07,50.4,595.03,229.26,-19.26,123.36,-6.92,-7.29,-30.11,-22.46
Net Cash Flow,-80.61,-297.46,-84.5,-98.27,-178.55,19.48,554.23,281.47,24.73,200.69,14.92,23.55,-7.89,-19.99
Free Cash Flow,-81.19,-257.86,-106.89,-60.76,-272.08,-16.83,38.31,89.26,42.49,67.16,16.04,14.78,-87.89,6.54
Free Cash Flow Growth,-,-,-,-,-,-,138.87%,503.84%,-,926.41%,-,-,-,-
Free Cash Flow Margin,-78.88%,-175.52%,-67.98%,-26.63%,-87.73%,-5.52%,16.77%,46.02%,35.02%,77.45%,24.54%,85.18%,-137.34%,10.46%
Free Cash Flow Per Share,-0.99,-3.17,-1.31,-0.72,-3.23,-0.20,0.48,1.16,0.58,3.83,1.09,1.01,-6.01,0.45
