Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.9,0.98,-1.04,1.4,1.38,-0.01,1.34,1.42,1.29
Depreciation & Amortization,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.08
Share-Based Compensation,0.14,0.34,0.22,0,0,0,0,0,0
Other Operating Activities,0.3,1.63,3.85,-0.72,-0.58,1.47,-0.54,0.44,0.73
Operating Cash Flow,1.41,3.03,3.11,0.75,0.88,1.54,0.87,1.93,2.1
Operating Cash Flow Growth,60.82%,96.37%,256.24%,-61.10%,-58.19%,-,-,-,-
Capital Expenditures,-0.01,-0.04,-0.06,-0.07,-0.05,0,-0.01,-0.02,-0.08
Change in Investments,-86.41,-164.1,-113.28,-89.61,-23.05,-28.75,-0.17,-17.29,-16.9
Other Investing Activities,-,0.03,0.9,-,-,-,-,-5,-
Investing Cash Flow,-86.42,-164.12,-112.44,-89.68,-23.1,-28.75,-0.18,-22.31,-16.98
Share Issuance / Repurchase,0,-0,79.25,0,0,0,0,0,0
Debt Issued / Paid,34,123.53,20,20,1.48,0,0,-10,1
Other Financing Activities,56.3,65.4,-10.7,72.14,19.56,19.13,13.28,7.03,40.9
Financing Cash Flow,90.3,188.92,88.55,92.14,21.03,19.13,13.28,-2.97,41.9
Net Cash Flow,5.29,27.84,-20.79,3.21,-1.19,-8.09,13.98,-23.35,27.02
Free Cash Flow,1.4,2.99,3.05,0.68,0.83,1.54,0.87,1.92,2.02
Free Cash Flow Growth,69.29%,93.84%,252.83%,-64.34%,-59.04%,-,-,-,-
Free Cash Flow Margin,24.49%,50.67%,52.27%,12.90%,16.38%,28.87%,17.74%,40.04%,44.42%
Free Cash Flow Per Share,0.17,0.35,0.36,0.08,0.09,0.17,-,-,-
