Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-230,194,92,789,-162,36,1,-12,11,-
Depreciation & Amortization,282,281,306,156,149,152,149,152,150,-
Other Operating Activities,-192,-354,-534,-783,47,-6,166,-1,-180,-
Operating Cash Flow,-140,121,-136,162,34,182,316,139,-19,-
Operating Cash Flow Growth,-,-33.52%,-,16.55%,-,-,-,-,-,-
Capital Expenditures,-164,-216,-148,-123,-135,-144,-372,-127,-76,-
Acquisitions,274,-9,"-8,017",-717,0,0,-1,-6,0,-
Change in Investments,-2,9,80,42,0,0,0,7,-1,-
Other Investing Activities,2,1,753,-750,-,-7,224,22,3,-
Investing Cash Flow,110,-215,"-7,332","-1,548",-135,-151,-149,-104,-74,-
Debt Issued / Paid,149,-206,"5,820","2,118",-135,1,-37,-54,70,-
Other Financing Activities,-60,119,"1,739",-522,-20,40,36,22,-64,-
Financing Cash Flow,89,-87,"7,559","1,596",-155,41,-1,-32,6,-
Net Cash Flow,59,-181,91,210,-256,72,166,3,-87,-
Free Cash Flow,-304,-95,-284,39,-101,38,-56,12,-95,-
Free Cash Flow Growth,-,-,-,225.00%,-,-,-,-,-,-
Free Cash Flow Margin,-10.41%,-3.04%,-9.78%,1.68%,-4.49%,1.53%,-2.39%,0.49%,-4.01%,-
Free Cash Flow Per Share,-3.07,-0.96,-2.87,0.39,-1.02,0.49,-,-,-,-
