Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
Net Income,23.95,22.7,22.66,20.28,22.12,16.99,25.11,28.3,21.6,12.1,12.88,8.94,2.77,15.66,15.15,13.02,12.4,16.93,14.34,2.57,6.58,-0.96,9.56,-4.55,6.37,63.92,1.57,2.6
Depreciation & Amortization,0.98,1.01,1.04,1.08,1.16,1.39,1.46,1.59,1.56,1.63,1.64,1.61,1.6,1.69,1.44,1.67,1.59,1.49,1.48,1.34,1.27,1.27,1.31,1.31,1.3,1.25,1.18,-
Share-Based Compensation,1.51,1.32,1.2,1.55,1.26,1.08,1.08,1.08,0.78,0.57,0.67,0.74,0.61,0.62,0.55,0.28,0.23,0.35,0.4,0.42,0.34,0.55,0.38,0.29,0.29,0.39,0.19,-
Other Operating Activities,22.7,9.67,7.85,37.21,68.03,8.67,-49.57,21.67,-9.13,91.48,-55.63,5.97,20.67,-1.01,5.88,-39.86,-0.77,-1.2,-8.23,23.99,17.09,13,-27.5,16.01,-3.04,-48.99,-13.14,-2.6
Operating Cash Flow,49.14,34.7,32.74,60.12,92.77,28.32,-21.73,52.83,15,105.97,-40.24,17.46,25.84,17.15,23.22,-24.7,13.65,17.77,8.19,28.51,25.47,14.06,-16.05,23.75,5.1,16.56,-10.2,-
Operating Cash Flow Growth,-47.03%,22.53%,-,13.81%,518.45%,-73.27%,-,202.65%,-41.95%,517.97%,-,-,89.30%,-3.49%,183.50%,-,-46.40%,26.42%,-,20.04%,399.37%,-15.10%,-,-,-,-,-,-
Capital Expenditures,-0.28,-0.3,-0.66,-1.75,-0.9,-0.47,-0.63,-0.66,-0.18,0.23,-0.72,-1.36,-2.04,-1.97,-0.88,-0.43,-0.98,0.24,-0.84,-0.47,-0.06,-0.3,-0.63,-0.81,-0.8,-0.37,-1.3,-
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,20.37,0,0,0,0,0,-11.27,0,-
Change in Investments,-80.62,-138.08,-80.8,-358.74,-241.9,27.39,-84.62,185.08,-302.45,-2.49,-75.19,-631.08,-175.22,-112.51,-29.33,2.51,-112.65,-60.38,-120.09,-158.73,-53.84,-68.22,-32.71,0.34,34.72,-50.24,-106.77,-
Other Investing Activities,-,0.37,0.64,2.27,-,-14.43,2.12,1.97,-49.17,1.43,-,-,0.07,-,0.86,-,0.51,0,3.37,0.09,0.95,0.98,3.05,-,2.75,0.44,0.93,-
