Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,9.07,7.85,2.11,5.33,5.49,5.58,5.19,5.03,3.41,2.91,2.88,2.48
Depreciation & Amortization,0.33,0.48,0.43,0.45,0.44,0.42,0.4,0.4,0.4,0.38,0.39,0.39
Share-Based Compensation,0.05,0.41,0.11,0.1,0.09,0.13,0.16,0.17,0.12,0.13,0.1,0.22
Other Operating Activities,-2.21,4.01,4.71,-2.75,-0.26,1.22,-0.94,-3.19,-1.16,1.89,-1.65,-1.54
Operating Cash Flow,7.25,12.76,7.36,3.12,5.77,7.34,4.81,2.4,2.77,5.32,1.72,1.55
Operating Cash Flow Growth,25.66%,73.91%,52.88%,29.78%,108.57%,37.97%,180.31%,55.60%,-,-,-,-
Capital Expenditures,-0.4,-0.73,-0.34,-0.08,-0.59,-0.6,-0.41,-0.36,-0.11,-0.08,-0.2,-0.3
Change in Investments,-15.05,-86.09,-220.54,-110.88,-50.42,-38.71,-71.52,-110.27,-66.59,-51,-120.1,-49.27
Other Investing Activities,-,-,-,-,-,-15.21,-0.2,-3.03,-9.1,-19.18,-0.85,-14.17
Investing Cash Flow,-15.45,-86.82,-220.88,-110.96,-51.01,-54.52,-72.12,-113.65,-75.81,-70.26,-121.15,-63.75
Dividends Paid,-1.3,-1.12,-1.13,-1.13,-1.12,-1.12,-0.89,-0.89,-0.89,-0.9,-0.9,-0.9
Share Issuance / Repurchase,0,-0.12,0,-0.19,0,35.22,-0.07,-0.27,-0.65,-0.01,-0.35,-0.15
Debt Issued / Paid,128.5,0,0,0,0,0,0,0,0.02,19.31,0,-5
Other Financing Activities,-213.17,-15.9,129.76,159.3,-37.52,80.24,138.11,244.27,-63.91,118.36,224.22,127.49
Financing Cash Flow,-85.96,-17.14,128.64,157.99,-38.65,114.34,137.14,243.11,-65.44,136.76,222.98,121.44
Net Cash Flow,-94.17,-91.2,-84.88,50.15,-83.89,67.15,69.83,131.86,-138.48,71.82,103.55,59.24
Free Cash Flow,6.85,12.03,7.02,3.04,5.18,6.73,4.41,2.05,2.66,5.24,1.52,1.24
Free Cash Flow Growth,32.31%,78.66%,59.36%,48.53%,94.77%,28.52%,190.89%,64.87%,-,-,-,-
Free Cash Flow Margin,27.49%,54.03%,46.90%,16.50%,27.50%,37.61%,26.15%,12.35%,18.37%,37.12%,11.24%,9.78%
Free Cash Flow Per Share,1.22,2.14,1.25,0.54,0.92,1.28,0.98,0.46,0.59,1.16,0.34,0.28
