Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.51,0.39,-0.13,-0.07,0
Other Operating Activities,-0.57,-0.39,0.05,-0.39,-
Operating Cash Flow,-0.07,-0,-0.07,-0.46,0
Change in Investments,0,0,0,-117.3,0
Investing Cash Flow,0,0,0,-117.3,0
Share Issuance / Repurchase,1.73,0,0,118.48,0.03
Other Financing Activities,-1.73,-,0.1,-0.42,-0.02
Financing Cash Flow,0,0,0.1,118.06,0.01
Net Cash Flow,-0.07,-0,0.03,0.3,0.01
Free Cash Flow,-0.07,-0,-0.07,-0.46,0
Free Cash Flow Per Share,-0.01,-,-0.01,-0.17,-
