Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,-28.54,-27.93,-31.22,-16.7,-13.41,-8.18,-1.95,-1.01,-0.24,0.18,-0.68
Depreciation & Amortization,7.72,10,12.25,12.67,12.32,5.14,1.16,0.79,0.52,0.14,0.14
Share-Based Compensation,2.45,4.77,3.38,3.15,2.59,2.77,0.98,0.27,0,0,0
Other Operating Activities,15.03,0.66,8.57,-4.24,-5.72,-17.27,10.05,-0.78,2.68,0.62,1.09
Operating Cash Flow,-3.34,-12.5,-7.03,-5.13,-4.22,-17.54,10.23,-0.73,2.96,0.94,0.54
Operating Cash Flow Growth,-,-,-,-,-,-,1778.14%,-,-,-,-
Capital Expenditures,-0.01,-3.71,-12.56,-11.59,-44.64,-133.27,-28.93,-88.6,-2.85,-0.57,-1.01
Acquisitions,0,0,0,0,0,-3.91,0,0,0,0,0
Change in Investments,0,0,0,-13,0,0,0,-0.48,0.48,-1.65,0.07
Other Investing Activities,-,-,-,-0.97,-,-0.03,-0,0,-,-,-
Investing Cash Flow,-0.01,-3.71,-12.56,-25.55,-44.64,-137.21,-28.93,-89.09,-2.37,-2.22,-0.95
Dividends Paid,0,0,0,0,0,0,0,0,0,-0.53,-0.2
Share Issuance / Repurchase,0,0,8.6,0,0,131.26,0,97.06,0,0,0
Debt Issued / Paid,-3.59,12.79,-5.27,38.19,42.55,6.84,16.42,36.85,0.73,1.93,-0.04
Other Financing Activities,-,-,-,-,-,7,-,-2,-,-,-
Financing Cash Flow,-3.59,12.79,3.32,38.19,42.55,145.1,16.42,131.91,0.73,1.4,-0.24
Net Cash Flow,-6.94,-3.43,-16.26,7.51,-6.31,-9.64,-2.28,42.09,1.32,0.12,-0.64
Free Cash Flow,-3.36,-16.21,-19.59,-16.71,-48.86,-150.81,-18.7,-89.33,0.1,0.37,-0.47
Free Cash Flow Margin,-19.43%,-69.27%,-79.15%,-57.27%,-166.29%,-886.65%,-310.68%,-2134.89%,2.71%,36.93%,-48.69%
Free Cash Flow Per Share,-0.08,-0.63,-0.80,-0.82,-2.42,-27.33,-58.02,-10978.84,0.00,0.01,-
